country,year,electrification_pct,total_fuel,electricity,region_type,sub_region,case,case_study_name,origin_tonnes,destination_tonnes,through_tonnes,total_tonnes,total_tkm,MWh_per_TKM,kWh_per_TKM,kWh_per_100tkm,kWh_per_1000tkm,total_km_traveled,electricity_kWh,kWh_per_km,kWh_per_60km,kWh_per_100km
DE,2050,100.0,11022.772944000008,11022.772944000008,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.942708061304195e-06,0.0029427080613041953,0.2942708061304195,2.942708061304195,275425898.0855297,11022772.944000008,0.04002082963373705,2.401249778024223,4.002082963373705
DE,2030,28.781435919551342,8551.3969,2461.214819,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,6.570612245455902e-07,0.0006570612245455903,0.06570612245455902,0.6570612245455902,275425898.0855297,2461214.8189999997,0.008936032653820026,0.5361619592292015,0.8936032653820026
DE,2040,85.77379385371725,9787.084924000003,8394.754047000002,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.241115782051884e-06,0.002241115782051884,0.2241115782051884,2.241115782051884,275425898.0855297,8394754.047000002,0.030479174635905618,1.8287504781543371,3.047917463590562
AT,2040,100.0,5136.416489000001,5136.416489000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.853859591287091e-06,0.002853859591287091,0.2853859591287091,2.853859591287091,132339265.8026225,5136416.489000001,0.03881249044150444,2.3287494264902664,3.881249044150444
AT,2030,82.55871929561651,4487.9079310000025,3705.1593110000026,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.058634547955565e-06,0.002058634547955565,0.2058634547955565,2.058634547955565,132339265.8026225,3705159.3110000025,0.027997429852195683,1.679845791131741,2.7997429852195683
AT,2050,100.0,5784.925040999998,5784.925040999998,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,3.214179350231953e-06,0.003214179350231953,0.3214179350231953,3.2141793502319533,132339265.8026225,5784925.040999997,0.043712839163154556,2.622770349789273,4.3712839163154555
IT,2040,98.49798763655507,4941.671707,4867.447187000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.09301086631693e-06,0.00209301086631693,0.209301086631693,2.0930108663169302,170997931.36080548,4867447.187000001,0.02846494778191025,1.707896866914615,2.846494778191025
IT,2050,100.0,5565.592366999997,5565.592366999997,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.3932145237719973e-06,0.0023932145237719974,0.23932145237719973,2.3932145237719973,170997931.36080548,5565592.366999997,0.032547717523299165,1.95286305139795,3.2547717523299164
IT,2030,23.50228559368629,4317.751033,1014.770179,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091344_var_var,case_20251028_091344_var_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,4.3635296488351515e-07,0.00043635296488351514,0.043635296488351516,0.43635296488351516,170997931.36080548,1014770.179,0.005934400322415806,0.35606401934494836,0.5934400322415806
DE,2050,100.0,11022.772944000008,11022.772944000008,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.942708061304195e-06,0.0029427080613041953,0.2942708061304195,2.942708061304195,275425898.0855297,11022772.944000008,0.04002082963373705,2.401249778024223,4.002082963373705
DE,2030,30.026679864423087,8551.396902999997,2567.7005719999997,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,6.854893238413954e-07,0.0006854893238413954,0.06854893238413953,0.6854893238413954,275425898.0855297,2567700.5719999997,0.009322654804242976,0.5593592882545786,0.9322654804242976
DE,2040,87.86460695803149,9787.084925000003,8599.383702000003,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.295744988188092e-06,0.0022957449881880923,0.2295744988188092,2.2957449881880923,275425898.0855297,8599383.702000003,0.031222131839358055,1.8733279103614833,3.1222131839358056
AT,2040,100.0,5136.416489000001,5136.416489000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.853859591287091e-06,0.002853859591287091,0.2853859591287091,2.853859591287091,132339265.8026225,5136416.489000001,0.03881249044150444,2.3287494264902664,3.881249044150444
AT,2030,82.89412697465923,4487.907930000003,3720.212098000003,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.0669980715614784e-06,0.0020669980715614785,0.20669980715614783,2.0669980715614784,132339265.8026225,3720212.098000003,0.028111173773236103,1.686670426394166,2.8111173773236104
AT,2050,100.0,5784.925040999998,5784.925040999998,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,3.214179350231953e-06,0.003214179350231953,0.3214179350231953,3.2141793502319533,132339265.8026225,5784925.040999997,0.043712839163154556,2.622770349789273,4.3712839163154555
IT,2040,87.4292285747283,4941.671708000001,4320.465453000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,1.8578077569752369e-06,0.0018578077569752368,0.1857807756975237,1.857807756975237,170997931.36080548,4320465.453000001,0.025266185494863223,1.5159711296917935,2.5266185494863223
IT,2050,100.0,5565.592366999997,5565.592366999997,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.3932145237719973e-06,0.0023932145237719974,0.23932145237719973,2.3932145237719973,170997931.36080548,5565592.366999997,0.032547717523299165,1.95286305139795,3.2547717523299164
IT,2030,24.7410327582642,4317.751031,1068.2561970000002,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091411_var_uni,case_20251028_091411_var_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,4.593520468599999e-07,0.00045935204685999993,0.04593520468599999,0.4593520468599999,170997931.36080548,1068256.1970000002,0.006247187837295999,0.37483127023776,0.6247187837296
DE,2050,100.0,11022.772944000008,11022.772944000008,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.942708061304195e-06,0.0029427080613041953,0.2942708061304195,2.942708061304195,275425898.0855297,11022772.944000008,0.04002082963373705,2.401249778024223,4.002082963373705
DE,2040,85.46699351339286,9787.084925000001,8364.727238000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.2330996382604398e-06,0.00223309963826044,0.22330996382604398,2.23309963826044,275425898.0855297,8364727.238000002,0.03037015508034198,1.8222093048205188,3.037015508034198
DE,2030,26.62574639941257,8551.396902999999,2276.873253,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,6.078482529042832e-07,0.0006078482529042833,0.06078482529042832,0.6078482529042832,275425898.0855297,2276873.253,0.00826673623949825,0.49600417436989497,0.8266736239498249
AT,2040,100.0,5136.416489000001,5136.416489000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.853859591287091e-06,0.002853859591287091,0.2853859591287091,2.853859591287091,132339265.8026225,5136416.489000001,0.03881249044150444,2.3287494264902664,3.881249044150444
AT,2030,61.004940486377166,4487.907932000001,2737.8455630000008,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,1.5211824890297282e-06,0.0015211824890297282,0.15211824890297282,1.521182489029728,132339265.8026225,2737845.5630000005,0.0206880818508043,1.241284911048258,2.06880818508043
AT,2050,100.0,5784.925040999998,5784.925040999998,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,3.214179350231953e-06,0.003214179350231953,0.3214179350231953,3.2141793502319533,132339265.8026225,5784925.040999997,0.043712839163154556,2.622770349789273,4.3712839163154555
IT,2050,100.0,5565.592366999997,5565.592366999997,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.3932145237719973e-06,0.0023932145237719974,0.23932145237719973,2.3932145237719973,170997931.36080548,5565592.366999997,0.032547717523299165,1.95286305139795,3.2547717523299164
IT,2040,99.2478355056474,4941.671706000002,4904.502206000002,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.1089445897738007e-06,0.0021089445897738007,0.21089445897738007,2.1089445897738006,170997931.36080548,4904502.206000002,0.028681646420923693,1.7208987852554216,2.868164642092369
IT,2030,31.062488706490466,4317.751033,1341.2009270000003,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091502_uni_var,case_20251028_091502_uni_var,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,5.767187616586131e-07,0.0005767187616586131,0.057671876165861315,0.5767187616586131,170997931.36080548,1341200.9270000004,0.00784337515855714,0.47060250951342836,0.784337515855714
DE,2050,100.0,11022.772944000008,11022.772944000008,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.942708061304195e-06,0.0029427080613041953,0.2942708061304195,2.942708061304195,275425898.0855297,11022772.944000008,0.04002082963373705,2.401249778024223,4.002082963373705
DE,2030,29.56049254148852,8551.396904,2527.835044,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,6.748465743980619e-07,0.0006748465743980619,0.0674846574398062,0.674846574398062,275425898.0855297,2527835.0439999998,0.00917791341181364,0.5506748047088184,0.917791341181364
DE,2040,85.8233372997936,9787.084925000005,8399.602907000004,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,3626962.2378595304,3633767.908724849,88853.95019266487,7349584.096777043,3745792213.9632034,2.2424102638925817e-06,0.0022424102638925816,0.22424102638925816,2.2424102638925816,275425898.0855297,8399602.907000003,0.030496779588939104,1.8298067753363463,3.0496779588939105
AT,2040,100.0,5136.416489000001,5136.416489000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,2.853859591287091e-06,0.002853859591287091,0.2853859591287091,2.853859591287091,132339265.8026225,5136416.489000001,0.03881249044150444,2.3287494264902664,3.881249044150444
AT,2030,62.548349173140984,4487.907929000001,2807.112322000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,1.559667998324557e-06,0.001559667998324557,0.1559667998324557,1.559667998324557,132339265.8026225,2807112.3220000006,0.021211484777213973,1.2726890866328384,2.1211484777213974
AT,2050,100.0,5784.925040999998,5784.925040999998,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1903486.9705706798,1738482.5619104141,135266.4466541305,3777235.9791352246,1799814014.9156659,3.214179350231953e-06,0.003214179350231953,0.3214179350231953,3.2141793502319533,132339265.8026225,5784925.040999997,0.043712839163154556,2.622770349789273,4.3712839163154555
IT,2050,100.0,5565.592366999997,5565.592366999997,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.3932145237719973e-06,0.0023932145237719974,0.23932145237719973,2.3932145237719973,170997931.36080548,5565592.366999997,0.032547717523299165,1.95286305139795,3.2547717523299164
IT,2040,94.66267199364161,4941.671707,4677.918479000001,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,2.0115131879481786e-06,0.0020115131879481787,0.20115131879481787,2.0115131879481787,170997931.36080548,4677918.479000001,0.027356579356095236,1.641394761365714,2.7356579356095234
IT,2030,28.28250920327729,4317.751032,1221.1683330000003,border_Austria-Germany-Italy,Austria-Germany-Italy,case_20251028_091635_uni_uni,case_20251028_091635_uni_uni,1831317.1673628157,1851086.936307742,320691.07208684465,4003095.1757574026,2325571866.5069547,5.25104534754376e-07,0.000525104534754376,0.0525104534754376,0.525104534754376,170997931.36080548,1221168.3330000003,0.007141421672659514,0.42848530035957083,0.7141421672659515
