case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251028_091502_uni_var,0,2020,245863.145584,3284.37397,16421.86985,259000.641464
case_20251028_091502_uni_var,0,2022,31190.185356,3284.37397,259000.641464,286906.45285
case_20251028_091502_uni_var,0,2024,28980.150676,3284.37397,286906.45285,312602.229556
case_20251028_091502_uni_var,0,2026,28743.749147,3284.37397,312602.229556,338061.604733
case_20251028_091502_uni_var,0,2028,23775.254571,3284.37397,338061.604733,358552.485334
case_20251028_091502_uni_var,0,2030,208160.868878,245863.145584,358552.485334,320850.208628
case_20251028_091502_uni_var,0,2032,16984.799432,31190.185356,320850.208628,306644.822704
case_20251028_091502_uni_var,0,2034,16779.036855,28980.150676,306644.822704,294443.708883
case_20251028_091502_uni_var,0,2036,10451.513582,28743.749147,294443.708883,276151.47331800003
case_20251028_091502_uni_var,0,2038,10299.13153,23775.254571,276151.47331800003,262675.350277
case_20251028_091502_uni_var,0,2040,173960.55682600001,208160.868878,262675.350277,228475.038225
case_20251028_091502_uni_var,0,2042,4168.152672,16984.799432,228475.038225,215658.391465
case_20251028_091502_uni_var,0,2044,953.438318,16779.036855,215658.391465,199832.792928
case_20251028_091502_uni_var,0,2046,931.873407,10451.513582,199832.792928,190313.152753
case_20251028_091502_uni_var,0,2048,0.0,10299.13153,190313.152753,180014.02122300002
case_20251028_091502_uni_var,0,2050,145126.801454,173960.55682600001,180014.02122300002,151180.265851
case_20251028_091502_uni_var,0,2052,0.0,4168.152672,151180.265851,147012.113179
case_20251028_091502_uni_var,0,2054,0.0,953.438318,147012.113179,146058.674861
case_20251028_091502_uni_var,0,2056,0.0,931.873407,146058.674861,145126.801454
case_20251028_091502_uni_var,0,2058,0.0,0.0,145126.801454,145126.801454
case_20251028_091502_uni_var,0,2060,0.0,25140.289706,145126.801454,119986.511748
case_20251028_091502_uni_var,1,2020,4488.620349,0.0,0.0,4488.620349
case_20251028_091502_uni_var,1,2022,7720.51309,0.0,4488.620349,12209.133439
case_20251028_091502_uni_var,1,2024,10264.906515,0.0,12209.133439,22474.039954
case_20251028_091502_uni_var,1,2026,13079.335327,0.0,22474.039954,35553.375281
case_20251028_091502_uni_var,1,2028,21114.796061,0.0,35553.375281,56668.171342
case_20251028_091502_uni_var,1,2030,22463.289062,4488.620349,56668.171342,74642.840055
case_20251028_091502_uni_var,1,2032,31716.855312,7720.51309,74642.840055,98639.182277
case_20251028_091502_uni_var,1,2034,32639.51501,10264.906515,98639.182277,121013.790772
case_20251028_091502_uni_var,1,2036,40351.917177,13079.335327,121013.790772,148286.372622
case_20251028_091502_uni_var,1,2038,40483.448136,21114.796061,148286.372622,167655.024697
case_20251028_091502_uni_var,1,2040,47664.117017,22463.289062,167655.024697,192855.852652
case_20251028_091502_uni_var,1,2042,46939.566541,31716.855312,192855.852652,208078.563881
case_20251028_091502_uni_var,1,2044,50154.509758,32639.51501,208078.563881,225593.558629
case_20251028_091502_uni_var,1,2046,49283.603301,40351.917177,225593.558629,234525.244753
case_20251028_091502_uni_var,1,2048,49720.600155,40483.448136,234525.244753,243762.396772
case_20251028_091502_uni_var,1,2050,49382.5406,47664.117017,243762.396772,245480.820355
case_20251028_091502_uni_var,1,2052,48723.461867,46939.566541,245480.820355,247264.715681
case_20251028_091502_uni_var,1,2054,48368.102151,50154.509758,247264.715681,245478.308074
case_20251028_091502_uni_var,1,2056,47683.312289,49283.603301,245478.308074,243878.017062
case_20251028_091502_uni_var,1,2058,47280.871051,49720.600155,243878.017062,241438.287958
case_20251028_091502_uni_var,1,2060,23280.480719,27026.287735,241438.287958,237692.480942
