case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251028_091635_uni_uni,0,2020,245863.145579,3284.37397,16421.86985,259000.641459
case_20251028_091635_uni_uni,0,2022,31190.185358,3284.37397,259000.641459,286906.452847
case_20251028_091635_uni_uni,0,2024,28980.150675,3284.37397,286906.452847,312602.229552
case_20251028_091635_uni_uni,0,2026,28743.749166,3284.37397,312602.229552,338061.604748
case_20251028_091635_uni_uni,0,2028,23775.254569,3284.37397,338061.604748,358552.485347
case_20251028_091635_uni_uni,0,2030,208160.868878,245863.145579,358552.485347,320850.208646
case_20251028_091635_uni_uni,0,2032,16984.799432,31190.185358,320850.208646,306644.82272
case_20251028_091635_uni_uni,0,2034,16779.036857,28980.150675,306644.82272,294443.708902
case_20251028_091635_uni_uni,0,2036,10451.513582,28743.749166,294443.708902,276151.473318
case_20251028_091635_uni_uni,0,2038,10299.131528,23775.254569,276151.473318,262675.350277
case_20251028_091635_uni_uni,0,2040,173960.556828,208160.868878,262675.350277,228475.038227
case_20251028_091635_uni_uni,0,2042,4168.152674,16984.799432,228475.038227,215658.391469
case_20251028_091635_uni_uni,0,2044,953.438319,16779.036857,215658.391469,199832.792931
case_20251028_091635_uni_uni,0,2046,931.8734069999999,10451.513582,199832.792931,190313.152756
case_20251028_091635_uni_uni,0,2048,0.0,10299.131528,190313.152756,180014.021228
case_20251028_091635_uni_uni,0,2050,145126.801453,173960.556828,180014.021228,151180.26585300002
case_20251028_091635_uni_uni,0,2052,0.0,4168.152674,151180.26585300002,147012.113179
case_20251028_091635_uni_uni,0,2054,0.0,953.438319,147012.113179,146058.67486
case_20251028_091635_uni_uni,0,2056,0.0,931.8734069999999,146058.67486,145126.801453
case_20251028_091635_uni_uni,0,2058,0.0,0.0,145126.801453,145126.801453
case_20251028_091635_uni_uni,0,2060,0.0,25112.313469,145126.801453,120014.487984
case_20251028_091635_uni_uni,1,2020,4488.620332,0.0,0.0,4488.620332
case_20251028_091635_uni_uni,1,2022,7720.513081,0.0,4488.620332,12209.133413
case_20251028_091635_uni_uni,1,2024,10264.90651,0.0,12209.133413,22474.039923
case_20251028_091635_uni_uni,1,2026,13079.335323,0.0,22474.039923,35553.375246
case_20251028_091635_uni_uni,1,2028,21114.796076,0.0,35553.375246,56668.171322
case_20251028_091635_uni_uni,1,2030,22463.289059,4488.620332,56668.171322,74642.840049
case_20251028_091635_uni_uni,1,2032,31716.855308,7720.513081,74642.840049,98639.182276
case_20251028_091635_uni_uni,1,2034,32639.515011,10264.90651,98639.182276,121013.790777
case_20251028_091635_uni_uni,1,2036,40351.917182,13079.335323,121013.790777,148286.372636
case_20251028_091635_uni_uni,1,2038,40483.44814,21114.796076,148286.372636,167655.0247
case_20251028_091635_uni_uni,1,2040,47664.117018,22463.289059,167655.0247,192855.852659
case_20251028_091635_uni_uni,1,2042,46939.566542,31716.855308,192855.852659,208078.563893
case_20251028_091635_uni_uni,1,2044,50154.509758,32639.515011,208078.563893,225593.55864
case_20251028_091635_uni_uni,1,2046,49283.603301,40351.917182,225593.55864,234525.244759
case_20251028_091635_uni_uni,1,2048,49720.600155,40483.44814,234525.244759,243762.396774
case_20251028_091635_uni_uni,1,2050,49382.5406,47664.117018,243762.396774,245480.820356
case_20251028_091635_uni_uni,1,2052,48723.461867,46939.566542,245480.820356,247264.715681
case_20251028_091635_uni_uni,1,2054,48368.102151,50154.509758,247264.715681,245478.308074
case_20251028_091635_uni_uni,1,2056,47683.312289,49283.603301,245478.308074,243878.017062
case_20251028_091635_uni_uni,1,2058,47280.871051,49720.600155,243878.017062,241438.287958
case_20251028_091635_uni_uni,1,2060,23280.480719,27613.788705,241438.287958,237104.979972
