case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251030_113248_var_uni,0,2020,187.298383,31.38608,156.9304,312.842703
case_20251030_113248_var_uni,0,2022,78.916573,31.38608,312.842703,360.373196
case_20251030_113248_var_uni,0,2024,62.420517,31.38608,360.373196,391.407633
case_20251030_113248_var_uni,0,2026,51.032794,31.38608,391.407633,411.054347
case_20251030_113248_var_uni,0,2028,46.186426000000004,31.38608,411.054347,425.854693
case_20251030_113248_var_uni,0,2030,122.36112299999999,187.298383,425.854693,360.917433
case_20251030_113248_var_uni,0,2032,16.848538,78.916573,360.917433,298.849398
case_20251030_113248_var_uni,0,2034,6.108327,62.420517,298.849398,242.537208
case_20251030_113248_var_uni,0,2036,0.0,51.032794,242.537208,191.504414
case_20251030_113248_var_uni,0,2038,0.0,46.186426000000004,191.504414,145.317988
case_20251030_113248_var_uni,0,2040,82.817236,122.36112299999999,145.317988,105.774101
case_20251030_113248_var_uni,0,2042,0.0,16.848538,105.774101,88.925563
case_20251030_113248_var_uni,0,2044,0.0,6.108327,88.925563,82.817236
case_20251030_113248_var_uni,0,2046,0.0,0.0,82.817236,82.817236
case_20251030_113248_var_uni,0,2048,0.0,0.0,82.817236,82.817236
case_20251030_113248_var_uni,0,2050,51.010051,82.817236,82.817236,51.010051
case_20251030_113248_var_uni,0,2052,0.0,0.0,51.010051,51.010051
case_20251030_113248_var_uni,0,2054,0.0,0.0,51.010051,51.010051
case_20251030_113248_var_uni,0,2056,0.0,0.0,51.010051,51.010051
case_20251030_113248_var_uni,0,2058,0.0,0.0,51.010051,51.010051
case_20251030_113248_var_uni,0,2060,0.0,0.0,51.010051,51.010051
case_20251030_113248_var_uni,1,2020,233.814837,0.0,0.0,233.814837
case_20251030_113248_var_uni,1,2022,43.5791,0.0,233.814837,277.393937
case_20251030_113248_var_uni,1,2024,49.799764,0.0,277.393937,327.193701
case_20251030_113248_var_uni,1,2026,56.075881,0.0,327.193701,383.269582
case_20251030_113248_var_uni,1,2028,62.757571,0.0,383.269582,446.027153
case_20251030_113248_var_uni,1,2030,299.760718,233.814837,446.027153,511.973034
case_20251030_113248_var_uni,1,2032,113.199914,43.5791,511.973034,581.593848
case_20251030_113248_var_uni,1,2034,53.063101,49.799764,581.593848,584.857185
case_20251030_113248_var_uni,1,2036,57.832961,56.075881,584.857185,586.614265
case_20251030_113248_var_uni,1,2038,63.049418,62.757571,586.614265,586.906112
case_20251030_113248_var_uni,1,2040,252.640263,299.760718,586.906112,539.785657
case_20251030_113248_var_uni,1,2042,103.768859,113.199914,539.785657,530.354602
case_20251030_113248_var_uni,1,2044,55.11779,53.063101,530.354602,532.409291
case_20251030_113248_var_uni,1,2046,58.96251,57.832961,532.409291,533.53884
case_20251030_113248_var_uni,1,2048,63.24063099999999,63.049418,533.53884,533.730053
case_20251030_113248_var_uni,1,2050,221.22662300000002,252.640263,533.730053,502.316413
case_20251030_113248_var_uni,1,2052,97.380082,103.768859,502.316413,495.927636
case_20251030_113248_var_uni,1,2054,56.530392,55.11779,495.927636,497.340238
case_20251030_113248_var_uni,1,2056,59.749772,58.96251,497.340238,498.1275
case_20251030_113248_var_uni,1,2058,63.375603,63.24063099999999,498.1275,498.262472
case_20251030_113248_var_uni,1,2060,0.0,0.0,498.262472,498.262472
