case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251030_113642_var_var_rev,0,2020,187.301276,31.38608,156.9304,312.845596
case_20251030_113642_var_var_rev,0,2022,78.916882,31.38608,312.845596,360.376398
case_20251030_113642_var_var_rev,0,2024,62.41698,31.38608,360.376398,391.407298
case_20251030_113642_var_var_rev,0,2026,51.032767,31.38608,391.407298,411.053985
case_20251030_113642_var_var_rev,0,2028,46.186401000000004,31.38608,411.053985,425.854306
case_20251030_113642_var_var_rev,0,2030,122.36405500000001,187.301276,425.854306,360.917085
case_20251030_113642_var_var_rev,0,2032,16.84888,78.916882,360.917085,298.849083
case_20251030_113642_var_var_rev,0,2034,6.104821,62.41698,298.849083,242.536924
case_20251030_113642_var_var_rev,0,2036,0.0,51.032767,242.536924,191.50415700000002
case_20251030_113642_var_var_rev,0,2038,0.0,46.186401000000004,191.50415700000002,145.317756
case_20251030_113642_var_var_rev,0,2040,82.82019,122.36405500000001,145.317756,105.77389099999999
case_20251030_113642_var_var_rev,0,2042,0.0,16.84888,105.77389099999999,88.925011
case_20251030_113642_var_var_rev,0,2044,0.0,6.104821,88.925011,82.82019
case_20251030_113642_var_var_rev,0,2046,0.0,0.0,82.82019,82.82019
case_20251030_113642_var_var_rev,0,2048,0.0,0.0,82.82019,82.82019
case_20251030_113642_var_var_rev,0,2050,51.012723,82.82019,82.82019,51.012723
case_20251030_113642_var_var_rev,0,2052,0.0,0.0,51.012723,51.012723
case_20251030_113642_var_var_rev,0,2054,0.0,0.0,51.012723,51.012723
case_20251030_113642_var_var_rev,0,2056,0.0,0.0,51.012723,51.012723
case_20251030_113642_var_var_rev,0,2058,0.0,0.0,51.012723,51.012723
case_20251030_113642_var_var_rev,0,2060,0.0,0.0,51.012723,51.012723
case_20251030_113642_var_var_rev,1,2020,233.814742,0.0,0.0,233.814742
case_20251030_113642_var_var_rev,1,2022,43.579256,0.0,233.814742,277.393998
case_20251030_113642_var_var_rev,1,2024,49.799752,0.0,277.393998,327.19375
case_20251030_113642_var_var_rev,1,2026,56.075868,0.0,327.19375,383.269618
case_20251030_113642_var_var_rev,1,2028,62.757554999999996,0.0,383.269618,446.027173
case_20251030_113642_var_var_rev,1,2030,299.760606,233.814742,446.027173,511.973037
case_20251030_113642_var_var_rev,1,2032,113.200055,43.579256,511.973037,581.593836
case_20251030_113642_var_var_rev,1,2034,53.063092,49.799752,581.593836,584.857176
case_20251030_113642_var_var_rev,1,2036,57.832951,56.075868,584.857176,586.614259
case_20251030_113642_var_var_rev,1,2038,63.049405,62.757554999999996,586.614259,586.906109
case_20251030_113642_var_var_rev,1,2040,252.640173,299.760606,586.906109,539.785676
case_20251030_113642_var_var_rev,1,2042,103.768975,113.200055,539.785676,530.354596
case_20251030_113642_var_var_rev,1,2044,55.117782999999996,53.063092,530.354596,532.409287
case_20251030_113642_var_var_rev,1,2046,58.9625,57.832951,532.409287,533.5388360000001
case_20251030_113642_var_var_rev,1,2048,63.240621000000004,63.049405,533.5388360000001,533.730052
case_20251030_113642_var_var_rev,1,2050,221.226548,252.640173,533.730052,502.31642700000003
case_20251030_113642_var_var_rev,1,2052,97.380177,103.768975,502.31642700000003,495.927629
case_20251030_113642_var_var_rev,1,2054,56.530386,55.117782999999996,495.927629,497.340232
case_20251030_113642_var_var_rev,1,2056,59.749764,58.9625,497.340232,498.127496
case_20251030_113642_var_var_rev,1,2058,63.375594,63.240621000000004,498.127496,498.262469
case_20251030_113642_var_var_rev,1,2060,0.0,0.0,498.262469,498.262469
