NUTS2_CODE,highway_km
AL01,0.0
AL02,0.0
AL03,0.0
AT11,52.932
AT12,213.656
AT13,71.773
AT21,139.382
AT22,253.485
AT31,65.786
AT32,56.171
AT33,68.596
AT34,47.319
BE10,73.026
BE21,84.017
BE22,66.348
BE23,117.319
BE24,131.65800000000002
BE25,93.723
BE31,89.197
BE32,142.103
BE33,103.226
BE34,62.307
BE35,61.75199999999999
BG31,175.094
BG32,344.108
BG33,214.06
BG34,255.024
BG41,289.693
BG42,265.982
CH01,272.717
CH02,313.518
CH03,168.738
CH04,31.877000000000002
CH05,105.965
CH06,88.404
CH07,33.438
CY00,0.0
CZ01,72.637
CZ02,235.031
CZ03,75.821
CZ04,71.038
CZ05,162.698
CZ06,134.333
CZ07,103.71000000000001
CZ08,168.56199999999998
DE11,215.73999999999998
DE12,202.431
DE13,132.824
DE14,76.56
DE21,310.002
DE22,131.238
DE23,156.874
DE24,193.054
DE25,157.919
DE26,193.959
DE27,129.41
DE30,26.429
DE40,451.103
DE50,24.695
DE60,35.657000000000004
DE71,209.929
DE72,109.06700000000001
DE73,136.086
DE80,1646.057
DE91,97.51
DE92,71.751
DE93,126.932
DE94,237.844
DEA1,280.296
DEA2,210.18200000000002
DEA3,169.118
DEA4,110.648
DEA5,196.22899999999998
DEB1,123.99499999999999
DEB2,91.655
DEB3,187.879
DEC0,85.736
DED2,80.672
DED4,145.539
DED5,65.163
DEE0,166.007
DEF0,241.447
DEG0,258.824
DK01,76.194
DK02,344.492
DK03,118.262
DK04,135.235
DK05,586.9970000000001
EE00,2749.221
EL30,841.289
EL41,0.0
EL42,30.357
EL43,874.385
EL51,223.541
EL52,503.1
EL53,442.033
EL54,1087.829
EL61,366.241
EL62,720.0
EL63,264.34000000000003
EL64,288.245
EL65,241.05400000000003
ES11,405.065
ES12,40.296
ES13,12.073
ES21,204.958
ES22,175.269
ES23,45.509
ES24,187.32300000000004
ES30,251.014
ES41,826.558
ES42,541.332
ES43,239.556
ES51,135.243
ES52,143.121
ES53,0.0
ES61,747.143
ES62,185.06000000000003
ES63,0.0
ES64,0.0
ES70,0.0
FI19,980.106
FI1B,1792.114
FI1C,1071.366
FI1D,904.181
FI20,600.0
FR10,467.816
FRB0,345.27
FRC1,216.116
FRC2,120.062
FRD1,489.285
FRD2,160.475
FRE1,213.61599999999999
FRE2,443.21099999999996
FRF1,147.422
FRF2,227.728
FRF3,233.58599999999998
FRG0,212.054
FRH0,89.77799999999999
FRI1,579.153
FRI2,370.524
FRI3,237.34900000000002
FRJ1,365.472
FRJ2,213.263
