,year,country,fuel,infrastructure_type,initial_capacity_kW,added_capacity_kW,total_capacity_kW,energy_consumed_kWh,utilization_rate,utilization_pct
1,2020,AT,electricity,fast_charging_station,0.0,10000.0,10000.0,26463.270713,0.0003020921314269407,0.030209213142694067
0,2020,AT,electricity,slow_charging_station,0.0,10074.587803,10074.587803,26463.270712,0.0002998555745631285,0.029985557456312848
2,2020,IT,electricity,fast_charging_station,0.0,76.385594,76.385594,0.0,0.0,0.0
3,2020,NO,electricity,fast_charging_station,0.0,12.592524,12.592524,0.0,0.0,0.0
4,2020,SE,electricity,fast_charging_station,0.0,15.543801999999998,15.543801999999998,0.0,0.0,0.0
6,2024,AT,electricity,fast_charging_station,0.0,24000.0,24000.0,63479.84786200001,0.0003019399156297565,0.030193991562975652
5,2024,AT,electricity,slow_charging_station,0.0,24156.885172000002,24156.885172000002,63479.84785599998,0.0002999789883022101,0.02999789883022101
7,2024,IT,electricity,fast_charging_station,0.0,134.546254,134.546254,0.0,0.0,0.0
8,2024,NO,electricity,fast_charging_station,0.0,13.231174999999999,13.231174999999999,0.0,0.0,0.0
9,2024,SE,electricity,fast_charging_station,0.0,18.035268000000002,18.035268000000002,0.0,0.0,0.0
11,2028,AT,electricity,fast_charging_station,0.0,34600.904586,34600.904586,91413.76921199998,0.00030159216665144844,0.030159216665144845
10,2028,AT,electricity,slow_charging_station,0.0,34784.539272999995,34784.539272999995,91413.76921399997,0.0003000000000149517,0.03000000000149517
12,2028,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
13,2028,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
14,2028,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
16,2032,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,99424.02353800004,0.0002656256402988648,0.02656256402988648
15,2032,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,99424.02354699999,0.0002644666455718179,0.02644666455718179
17,2032,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
18,2032,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
19,2032,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
21,2036,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,97404.00662100002,0.00026022887332143913,0.026022887332143915
20,2036,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,97404.00662799997,0.0002590934261072716,0.025909342610727158
22,2036,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
23,2036,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
24,2036,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
26,2040,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,88996.6217820001,0.00023776733030970635,0.023776733030970634
25,2040,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,88996.62179299995,0.00023672988874456625,0.023672988874456624
27,2040,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
28,2040,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
29,2040,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
31,2044,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,87780.44991999987,0.00023451815150903342,0.023451815150903343
30,2044,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,87780.44992600002,0.00023349488695496113,0.023349488695496114
32,2044,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
33,2044,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
34,2044,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
36,2048,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,87998.20713900008,0.00023509992137378373,0.023509992137378373
35,2048,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,87998.20714299998,0.00023407411839897736,0.023407411839897734
37,2048,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
38,2048,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
39,2048,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
41,2052,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,81765.57431599995,0.0002184485425073433,0.02184485425073433
40,2052,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,81765.57431199997,0.00021749539387053222,0.02174953938705322
42,2052,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
43,2052,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
44,2052,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
46,2056,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,82128.273533,0.00021941754585606325,0.021941754585606325
45,2056,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,82128.273528,0.000218460169199321,0.0218460169199321
47,2056,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
48,2056,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
49,2056,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
51,2060,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,40386.763107,0.00010789907135266232,0.010789907135266232
50,2060,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,40386.7631,0.00010742827921776415,0.010742827921776414
52,2060,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
53,2060,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
54,2060,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
56,2064,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,0.0,0.0,0.0
55,2064,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,0.0,0.0,0.0
57,2064,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
58,2064,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
59,2064,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
61,2068,AT,electricity,fast_charging_station,0.0,42728.45936,42728.45936,0.0,0.0,0.0
60,2068,AT,electricity,slow_charging_station,0.0,42915.711934,42915.711934,0.0,0.0,0.0
62,2068,IT,electricity,fast_charging_station,0.0,152.79384700000003,152.79384700000003,0.0,0.0,0.0
63,2068,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
