,year,country,fuel,infrastructure_type,initial_capacity_kW,added_capacity_kW,total_capacity_kW,energy_consumed_kWh,utilization_rate,utilization_pct
1,2020,AT,electricity,fast_charging_station,0.0,10000.0,10000.0,26463.276933000005,0.0003020922024315069,0.03020922024315069
0,2020,AT,electricity,slow_charging_station,0.0,10074.590134,10074.590134,26463.276932999997,0.0002998555756744861,0.02998555756744861
2,2020,IT,electricity,fast_charging_station,0.0,76.40968199999999,76.40968199999999,0.0,0.0,0.0
3,2020,NO,electricity,fast_charging_station,0.0,12.592524,12.592524,0.0,0.0,0.0
4,2020,SE,electricity,fast_charging_station,0.0,15.543801999999998,15.543801999999998,0.0,0.0,0.0
6,2024,AT,electricity,fast_charging_station,0.0,24000.0,24000.0,63480.245864000004,0.00030194180871385084,0.030194180871385083
5,2024,AT,electricity,slow_charging_station,0.0,24156.914134,24156.914134,63480.245856999994,0.0002999805094365921,0.02999805094365921
7,2024,IT,electricity,fast_charging_station,0.0,134.608023,134.608023,0.0,0.0,0.0
8,2024,NO,electricity,fast_charging_station,0.0,13.231174999999999,13.231174999999999,0.0,0.0,0.0
9,2024,SE,electricity,fast_charging_station,0.0,18.035268000000002,18.035268000000002,0.0,0.0,0.0
11,2028,AT,electricity,fast_charging_station,0.0,34600.464931,34600.464931,91413.847545,0.0003015962573082532,0.030159625730825323
10,2028,AT,electricity,slow_charging_station,0.0,34784.569081,34784.569081,91413.84754399999,0.00029999999999715134,0.029999999999715133
12,2028,IT,electricity,fast_charging_station,0.0,152.81179600000002,152.81179600000002,0.0,0.0,0.0
13,2028,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
14,2028,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
16,2032,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,99424.00828600003,0.00026563669180894377,0.026563669180894377
15,2032,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,99424.00829100002,0.00026446658622634404,0.026446658622634404
17,2032,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
18,2032,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
19,2032,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
21,2036,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,97404.00778500004,0.0002602397433275014,0.02602397433275014
20,2036,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,97404.00779299997,0.0002590934108226931,0.02590934108226931
22,2036,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
23,2036,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
24,2036,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
26,2040,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,88996.6169030001,0.0002377772461988917,0.02377772461988917
25,2040,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,88996.61691399997,0.00023672985896978612,0.02367298589697861
27,2040,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
28,2040,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
29,2040,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
31,2044,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,87780.44863699982,0.000234527941323413,0.0234527941323413
30,2044,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,87780.44864400003,0.00023349486697768802,0.0233494866977688
32,2044,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
33,2044,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
34,2044,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
36,2048,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,87998.21307000007,0.00023510975475633594,0.023510975475633595
35,2048,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,87998.21307199997,0.00023407411756177344,0.023407411756177342
37,2048,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
38,2048,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
39,2048,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
41,2052,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,81765.57157799997,0.0002184576573836011,0.021845765738360112
40,2052,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,81765.57156999997,0.00021749537114489032,0.021749537114489032
42,2052,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
43,2052,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
44,2052,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
46,2056,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,82128.27498000003,0.00021942671237822571,0.02194267123782257
45,2056,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,82128.27497700004,0.00021846015755323163,0.02184601575532316
47,2056,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
48,2056,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
49,2056,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
51,2060,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,40391.494640000004,0.00010791621861114515,0.010791621861114516
50,2060,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,40391.49463199999,0.00010744085740980634,0.010744085740980633
52,2060,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
53,2060,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
54,2060,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
56,2064,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,0.0,0.0,0.0
55,2064,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,0.0,0.0,0.0
57,2064,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
58,2064,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
59,2064,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
61,2068,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,0.0,0.0,0.0
60,2068,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,0.0,0.0,0.0
62,2068,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
63,2068,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
64,2068,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
66,2072,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,0.0,0.0,0.0
65,2072,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,0.0,0.0,0.0
67,2072,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
68,2072,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
69,2072,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
71,2076,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,0.0,0.0,0.0
70,2076,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,0.0,0.0,0.0
72,2076,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
73,2076,NO,electricity,fast_charging_station,0.0,13.343088999999997,13.343088999999997,0.0,0.0,0.0
74,2076,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
76,2080,AT,electricity,fast_charging_station,0.0,42726.675137000006,42726.675137000006,0.0,0.0,0.0
75,2080,AT,electricity,slow_charging_station,0.0,42915.714979,42915.714979,0.0,0.0,0.0
77,2080,IT,electricity,fast_charging_station,0.0,154.15367899999998,154.15367899999998,0.0,0.0,0.0
