,year,country,fuel,infrastructure_type,initial_capacity_kW,added_capacity_kW,total_capacity_kW,energy_consumed_kWh,utilization_rate,utilization_pct
1,2020,AT,electricity,fast_charging_station,0.0,10000.0,10000.0,26463.310782,0.00030209258883561645,0.030209258883561643
0,2020,AT,electricity,slow_charging_station,0.0,10074.604746,10074.604746,26463.310784000005,0.000299855524335473,0.0299855524335473
2,2020,IT,electricity,fast_charging_station,0.0,76.48237499999999,76.48237499999999,0.0,0.0,0.0
3,2020,NO,electricity,fast_charging_station,0.0,12.592524,12.592524,0.0,0.0,0.0
4,2020,SE,electricity,fast_charging_station,0.0,15.514336999999998,15.514336999999998,0.0,0.0,0.0
6,2024,AT,electricity,fast_charging_station,0.0,24000.0,24000.0,63480.281537000024,0.00030194197839136235,0.030194197839136235
5,2024,AT,electricity,slow_charging_station,0.0,24156.880599,24156.880599,63480.28153400001,0.00029998109446921766,0.029998109446921765
7,2024,IT,electricity,fast_charging_station,0.0,140.66759600000003,140.66759600000003,0.0,0.0,0.0
8,2024,NO,electricity,fast_charging_station,0.0,13.188895999999998,13.188895999999998,0.0,0.0,0.0
9,2024,SE,electricity,fast_charging_station,0.0,17.982149,17.982149,0.0,0.0,0.0
11,2028,AT,electricity,fast_charging_station,0.0,34570.485624,34570.485624,91413.795369,0.0003018576273891305,0.03018576273891305
10,2028,AT,electricity,slow_charging_station,0.0,34784.549224999995,34784.549224999995,91413.79536899996,0.00030000000001870604,0.030000000001870603
12,2028,IT,electricity,fast_charging_station,0.0,184.32145500000001,184.32145500000001,0.0,0.0,0.0
13,2028,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
14,2028,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
16,2032,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,99424.01707399999,0.00026584733165852783,0.026584733165852782
15,2032,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,99424.01707500004,0.0002644665869014756,0.02644665869014756
17,2032,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
18,2032,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
19,2032,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
21,2036,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,97404.00613000008,0.00026044607615520503,0.026044607615520503
20,2036,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,97404.00613700003,0.00025909338418855847,0.025909338418855846
22,2036,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
23,2036,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
24,2036,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
26,2040,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,88996.62294800009,0.00023796578969180517,0.023796578969180516
25,2040,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,88996.62295400005,0.0002367298547256159,0.023672985472561588
27,2040,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
28,2040,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
29,2040,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
31,2044,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,87780.44887100009,0.0002347138929900044,0.02347138929900044
30,2044,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,87780.44886999996,0.00023349484754590292,0.023349484754590293
32,2044,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
33,2044,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
34,2044,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
36,2048,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,87998.208716,0.00023529615545977075,0.023529615545977076
35,2048,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,87998.208712,0.0002340740858815911,0.02340740858815911
37,2048,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
38,2048,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
39,2048,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
41,2052,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,81765.57290899997,0.000218630870277649,0.0218630870277649
40,2052,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,81765.5729,0.00021749535602242492,0.021749535602242492
42,2052,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
43,2052,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
44,2052,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
46,2056,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,82128.27363000008,0.00021960068644185347,0.021960068644185347
45,2056,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,82128.273643,0.00021846013526178598,0.021846013526178598
47,2056,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
48,2056,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
49,2056,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
51,2060,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,40393.030039000005,0.000108005888008714,0.0108005888008714
50,2060,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,40393.03005299996,0.00010744493239160972,0.010744493239160971
52,2060,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
53,2060,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
54,2060,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
56,2064,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
55,2064,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
57,2064,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
58,2064,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
59,2064,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
61,2068,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
60,2068,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
62,2068,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
63,2068,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
64,2068,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
66,2072,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
65,2072,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
67,2072,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
68,2072,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
69,2072,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
71,2076,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
70,2076,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
72,2076,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
73,2076,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
74,2076,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
76,2080,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
75,2080,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
77,2080,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
78,2080,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
79,2080,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
81,2084,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
80,2084,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
82,2084,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
83,2084,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
84,2084,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
86,2088,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
85,2088,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
87,2088,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
88,2088,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
89,2088,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
91,2092,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
90,2092,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
92,2092,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
93,2092,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
94,2092,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
96,2096,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
95,2096,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
97,2096,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
98,2096,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
99,2096,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
101,2100,AT,electricity,fast_charging_station,0.0,42692.825118,42692.825118,0.0,0.0,0.0
100,2100,AT,electricity,slow_charging_station,0.0,42915.718661,42915.718661,0.0,0.0,0.0
102,2100,IT,electricity,fast_charging_station,0.0,187.89390500000002,187.89390500000002,0.0,0.0,0.0
103,2100,NO,electricity,fast_charging_station,0.0,13.300809999999997,13.300809999999997,0.0,0.0,0.0
104,2100,SE,electricity,fast_charging_station,0.0,18.107513,18.107513,0.0,0.0,0.0
