NUTS2_CODE,origin_tonnes,destination_tonnes,through_tonnes,total_tonnes,origin_tkm,destination_tkm,through_tkm,total_tkm
AT31,881055.6137042238,778367.097485431,0.0,1659422.7111896547,428618506.5841593,356783285.6215271,0.0,785401792.2056863
AT32,335373.6768240616,317495.44006722193,0.0,652869.1168912835,156896594.1131559,144626890.2096964,0.0,301523484.3228523
AT33,420399.70416969183,385796.7341925072,128857.02561477356,935053.4639769727,199283860.94766948,179851470.4259923,60498391.68313631,439633723.05679804
AT34,266657.97587270255,256823.29016525403,6409.421039356932,529890.6870773135,138867538.37100768,131656169.63131464,2731307.328006836,273255015.3303292
DE11,1149972.5340025616,1159049.9659994785,0.0,2309022.50000204,555256786.8375149,559139569.4582982,0.0,1114396356.295813
DE12,1031175.5545083849,1018403.7070181952,0.0,2049579.26152658,489951678.0960686,478415910.0427629,0.0,968367588.1388315
DE13,1276371.9562493032,1265546.1119475332,0.0,2541918.0681968364,640805914.6862098,630200546.5645585,0.0,1271006461.2507682
DE14,664407.3564327224,663340.3656614644,0.0,1327747.7220941868,337992873.22085077,335043348.65715116,0.0,673036221.8780019
DE21,1651828.8129077302,1655569.1549306973,58104.53647443689,3365502.5043128645,853872985.6532502,850895662.7223799,25862279.840453908,1730630928.216084
DE22,691468.763010657,682672.230486054,28570.573704848844,1402711.5672015597,348968702.35398304,341055064.6403894,12225335.671598861,702249102.6659713
DE23,438850.42045945866,438647.48928174196,0.0,877497.9097412006,206970038.44445452,205926427.48098746,0.0,412896465.925442
DE24,177617.11538477227,180970.82011124797,0.0,358587.93549602025,79581710.67349356,82263883.02308103,0.0,161845593.6965746
DE25,570873.1724466125,577361.6298393965,9512.131940762012,1157746.934226771,267320720.79556617,270838686.5617564,4975559.536375862,543134966.8936985
DE26,250231.23106595204,253387.34490886147,0.0,503618.57597481355,112708192.38575907,114989375.93235484,0.0,227697568.31811392
DE27,619257.3055084205,632186.1576466332,2178.8400133791265,1253622.3031684328,316088893.1007615,322834848.7968908,952219.3054941439,639875961.2031465
DE30,455064.62155902165,470574.9718895569,0.0,925639.5934485786,223858325.11553916,241723501.64900458,0.0,465581826.7645438
DE40,1254263.1384664858,1275860.356069691,27613.59299309017,2557737.087529267,622788507.7276918,648837656.2091173,24335610.43349119,1295961774.3703003
DE50,489449.70753486874,484958.52015434933,0.0,974408.227689218,261594060.1015488,255680386.04458895,0.0,517274446.1461377
DE60,1310111.9346917772,1296073.3694291033,2658.3984280885525,2608843.702548969,679126538.9806933,664897178.892789,1584783.5559666282,1345608501.4294488
DE71,662347.0709494828,674408.6593176645,0.0,1336755.7302671473,312360146.4584828,321475474.25074947,0.0,633835620.7092323
DE72,208196.70774901626,211789.65765343164,0.0,419986.3654024479,97792482.74081644,100479551.07208104,0.0,198272033.8128975
DE73,325672.4984703741,327678.31295327906,0.0,653350.8114236532,149214633.31263208,150649033.1172635,0.0,299863666.4298956
DE80,282403.29914585716,281238.0469622311,181717.3932334794,745358.7393415677,145354761.0877835,144877936.90367913,115227358.13072796,405460056.12219054
DE91,456968.97045306844,464212.5454387239,0.0,921181.5158917923,206146651.59922206,214063512.7143649,0.0,420210164.31358695
DE92,800130.9322661303,842620.4486446833,0.0,1642751.3809108138,371791456.05133146,420368701.62603086,0.0,792160157.6773623
DE93,392347.1389974357,397385.17249895993,0.0,789732.3114963956,187625709.37331802,193946256.16936454,0.0,381571965.5426825
DE94,1187648.3092339092,1204214.9697474006,0.0,2391863.27898131,674182175.8406564,696253486.6015377,0.0,1370435662.442194
DEA1,2168635.7793164672,2131563.4573241216,0.0,4300199.236640589,1290364400.595576,1244819641.0542033,0.0,2535184041.6497793
DEA2,1575058.8803186794,1576660.968563811,0.0,3151719.8488824903,910009912.643164,908661274.7584119,0.0,1818671187.401576
DEA3,858116.9142104276,852404.9355871177,0.0,1710521.8497975452,488552545.5940066,481995805.0640982,0.0,970548350.6581048
DEA4,735749.4140472672,746081.8151695369,0.0,1481831.229216804,382667809.92323524,393624185.9668656,0.0,776291995.8901008
DEA5,1395330.212626823,1375468.5906225098,0.0,2770798.803249333,780447111.6173506,756836865.8619018,0.0,1537283977.4792523
DEB1,489819.2558900791,485855.68957162317,0.0,975674.9454617023,244196196.6883058,239249371.13863578,0.0,483445567.8269416
DEB2,612122.6725234338,566407.6184780156,0.0,1178530.2910014493,326024174.9971807,281828756.12327015,0.0,607852931.1204509
DEB3,677504.961866089,659809.3631691944,0.0,1337314.3250352833,334519130.43052036,318014557.24488026,0.0,652533687.6754006
DEC0,792182.4384526168,828427.0148516466,0.0,1620609.4533042633,387810631.2106087,413769267.04647785,0.0,801579898.2570865
DED2,462865.723253983,471659.05160209606,750.8453575517285,935275.6202136308,218390263.35949197,227232036.72002012,678755.6587561219,446301055.73826826
DED4,210564.5941753209,212113.2794789482,0.0,422677.87365426915,94748980.74871613,95995564.5441943,0.0,190744545.29291043
DED5,198144.1380402298,205301.2002606483,0.0,403445.33830087807,84863269.598719,91922959.03171596,0.0,176786228.63043496
DEE0,1070065.7126295425,1038996.9493211182,4346.999438457376,2113409.661389118,494393703.79669774,461040502.5664224,3510564.11849773,958944770.4816178
DEF0,1067210.7913767176,1078493.7648577646,56308.06152222921,2202012.6177567113,545359620.7565646,563019437.346534,29655189.58292067,1138034247.6860194
DEG0,406849.2417923679,416905.0156776447,0.0,823754.2574700126,173781834.14642763,183220823.28238767,0.0,357002657.4288153
DK01,100197.80302702746,101076.81544418973,0.0,201274.6184712172,62236937.79454713,64570419.909816995,0.0,126807357.70436412
