NUTS2_CODE,origin_tonnes,destination_tonnes,through_tonnes,total_tonnes,origin_tkm,destination_tkm,through_tkm,total_tkm
AT31,"881,055.61","778,367.10",0.00,"1,659,422.71","428,618,506.58","356,783,285.62",0.00,"785,401,792.21"
AT32,"335,373.68","317,495.44",0.00,"652,869.12","156,896,594.11","144,626,890.21",0.00,"301,523,484.32"
AT33,"420,399.70","385,796.73","128,857.03","935,053.46","199,283,860.95","179,851,470.43","60,498,391.68","439,633,723.06"
AT34,"266,657.98","256,823.29","6,409.42","529,890.69","138,867,538.37","131,656,169.63","2,731,307.33","273,255,015.33"
DE11,"1,149,972.53","1,159,049.97",0.00,"2,309,022.50","555,256,786.84","559,139,569.46",0.00,"1,114,396,356.30"
DE12,"1,031,175.55","1,018,403.71",0.00,"2,049,579.26","489,951,678.10","478,415,910.04",0.00,"968,367,588.14"
DE13,"1,276,371.96","1,265,546.11",0.00,"2,541,918.07","640,805,914.69","630,200,546.56",0.00,"1,271,006,461.25"
DE14,"664,407.36","663,340.37",0.00,"1,327,747.72","337,992,873.22","335,043,348.66",0.00,"673,036,221.88"
DE21,"1,651,828.81","1,655,569.15","58,104.54","3,365,502.50","853,872,985.65","850,895,662.72","25,862,279.84","1,730,630,928.22"
DE22,"691,468.76","682,672.23","28,570.57","1,402,711.57","348,968,702.35","341,055,064.64","12,225,335.67","702,249,102.67"
DE23,"438,850.42","438,647.49",0.00,"877,497.91","206,970,038.44","205,926,427.48",0.00,"412,896,465.93"
DE24,"177,617.12","180,970.82",0.00,"358,587.94","79,581,710.67","82,263,883.02",0.00,"161,845,593.70"
DE25,"570,873.17","577,361.63","9,512.13","1,157,746.93","267,320,720.80","270,838,686.56","4,975,559.54","543,134,966.89"
DE26,"250,231.23","253,387.34",0.00,"503,618.58","112,708,192.39","114,989,375.93",0.00,"227,697,568.32"
DE27,"619,257.31","632,186.16","2,178.84","1,253,622.30","316,088,893.10","322,834,848.80","952,219.31","639,875,961.20"
DE30,"455,064.62","470,574.97",0.00,"925,639.59","223,858,325.12","241,723,501.65",0.00,"465,581,826.76"
DE40,"1,254,263.14","1,275,860.36","27,613.59","2,557,737.09","622,788,507.73","648,837,656.21","24,335,610.43","1,295,961,774.37"
DE50,"489,449.71","484,958.52",0.00,"974,408.23","261,594,060.10","255,680,386.04",0.00,"517,274,446.15"
DE60,"1,310,111.93","1,296,073.37","2,658.40","2,608,843.70","679,126,538.98","664,897,178.89","1,584,783.56","1,345,608,501.43"
DE71,"662,347.07","674,408.66",0.00,"1,336,755.73","312,360,146.46","321,475,474.25",0.00,"633,835,620.71"
DE72,"208,196.71","211,789.66",0.00,"419,986.37","97,792,482.74","100,479,551.07",0.00,"198,272,033.81"
DE73,"325,672.50","327,678.31",0.00,"653,350.81","149,214,633.31","150,649,033.12",0.00,"299,863,666.43"
DE80,"282,403.30","281,238.05","181,717.39","745,358.74","145,354,761.09","144,877,936.90","115,227,358.13","405,460,056.12"
DE91,"456,968.97","464,212.55",0.00,"921,181.52","206,146,651.60","214,063,512.71",0.00,"420,210,164.31"
DE92,"800,130.93","842,620.45",0.00,"1,642,751.38","371,791,456.05","420,368,701.63",0.00,"792,160,157.68"
DE93,"392,347.14","397,385.17",0.00,"789,732.31","187,625,709.37","193,946,256.17",0.00,"381,571,965.54"
DE94,"1,187,648.31","1,204,214.97",0.00,"2,391,863.28","674,182,175.84","696,253,486.60",0.00,"1,370,435,662.44"
DEA1,"2,168,635.78","2,131,563.46",0.00,"4,300,199.24","1,290,364,400.60","1,244,819,641.05",0.00,"2,535,184,041.65"
DEA2,"1,575,058.88","1,576,660.97",0.00,"3,151,719.85","910,009,912.64","908,661,274.76",0.00,"1,818,671,187.40"
DEA3,"858,116.91","852,404.94",0.00,"1,710,521.85","488,552,545.59","481,995,805.06",0.00,"970,548,350.66"
DEA4,"735,749.41","746,081.82",0.00,"1,481,831.23","382,667,809.92","393,624,185.97",0.00,"776,291,995.89"
DEA5,"1,395,330.21","1,375,468.59",0.00,"2,770,798.80","780,447,111.62","756,836,865.86",0.00,"1,537,283,977.48"
DEB1,"489,819.26","485,855.69",0.00,"975,674.95","244,196,196.69","239,249,371.14",0.00,"483,445,567.83"
DEB2,"612,122.67","566,407.62",0.00,"1,178,530.29","326,024,175.00","281,828,756.12",0.00,"607,852,931.12"
DEB3,"677,504.96","659,809.36",0.00,"1,337,314.33","334,519,130.43","318,014,557.24",0.00,"652,533,687.68"
DEC0,"792,182.44","828,427.01",0.00,"1,620,609.45","387,810,631.21","413,769,267.05",0.00,"801,579,898.26"
DED2,"462,865.72","471,659.05",750.85,"935,275.62","218,390,263.36","227,232,036.72","678,755.66","446,301,055.74"
DED4,"210,564.59","212,113.28",0.00,"422,677.87","94,748,980.75","95,995,564.54",0.00,"190,744,545.29"
DED5,"198,144.14","205,301.20",0.00,"403,445.34","84,863,269.60","91,922,959.03",0.00,"176,786,228.63"
DEE0,"1,070,065.71","1,038,996.95","4,347.00","2,113,409.66","494,393,703.80","461,040,502.57","3,510,564.12","958,944,770.48"
DEF0,"1,067,210.79","1,078,493.76","56,308.06","2,202,012.62","545,359,620.76","563,019,437.35","29,655,189.58","1,138,034,247.69"
DEG0,"406,849.24","416,905.02",0.00,"823,754.26","173,781,834.15","183,220,823.28",0.00,"357,002,657.43"
DK01,"100,197.80","101,076.82",0.00,"201,274.62","62,236,937.79","64,570,419.91",0.00,"126,807,357.70"
DK02,"86,100.49","83,602.30","31,845.24","201,548.04","55,068,534.39","53,697,616.80","13,956,235.02","122,722,386.21"
DK03,"541,012.38","518,818.12","1,148.16","1,060,978.67","353,347,393.23","337,135,598.47","1,022,487.96","691,505,479.67"
DK04,"273,852.42","271,700.28","100,815.14","646,367.84","186,882,926.79","186,961,021.12","77,847,189.54","451,691,137.45"
DK05,"117,120.13","111,024.72","206,709.97","434,854.81","82,459,514.55","78,182,016.91","148,866,510.75","309,508,042.21"
ITC1,"1,175,981.90","1,121,332.54",0.00,"2,297,314.44","783,769,092.33","726,415,781.44",0.00,"1,510,184,873.76"
ITC2,"16,719.39","20,200.20",0.00,"36,919.59","10,188,310.37","12,985,122.82",0.00,"23,173,433.19"
ITC3,"162,638.66","139,991.54",0.00,"302,630.20","112,188,788.43","88,594,438.60",0.00,"200,783,227.03"
ITC4,"2,560,299.36","2,604,777.60",0.00,"5,165,076.96","1,559,708,982.33","1,575,250,529.59",0.00,"3,134,959,511.92"
ITF1,"86,506.36","95,541.07",0.00,"182,047.42","70,924,930.98","82,992,405.42",0.00,"153,917,336.39"
ITF2,"15,311.69","14,530.94",0.00,"29,842.63","13,076,148.67","11,762,085.98",0.00,"24,838,234.65"
ITF3,"159,244.37","158,430.51",0.00,"317,674.87","151,755,200.82","150,201,256.40",0.00,"301,956,457.22"
ITF4,"120,653.27","106,194.95",0.00,"226,848.22","133,786,630.85","108,659,738.35",0.00,"242,446,369.21"
ITF5,"25,873.73","30,588.14",0.00,"56,461.86","26,275,471.22","33,782,455.14",0.00,"60,057,926.36"
ITF6,"31,160.62","34,648.90",0.00,"65,809.51","35,805,164.71","42,356,709.14",0.00,"78,161,873.85"
ITH1,"521,244.75","518,856.57","211,213.97","1,251,315.30","258,249,729.73","252,033,421.20","99,925,331.61","610,208,482.54"
ITH2,"247,239.60","261,231.17","193,614.50","702,085.27","131,060,537.79","139,965,500.71","92,455,705.17","363,481,743.67"
ITH3,"1,310,072.42","1,332,230.37","109,477.10","2,751,779.88","829,044,993.69","835,105,321.84","51,213,068.44","1,715,363,383.97"
ITH4,"536,152.72","538,267.47",0.00,"1,074,420.19","351,333,745.61","343,769,453.92",0.00,"695,103,199.52"
ITH5,"1,029,556.38","972,605.34",0.00,"2,002,161.72","668,959,070.71","597,987,085.86",0.00,"1,266,946,156.57"
ITI1,"258,773.57","257,942.62",0.00,"516,716.18","177,153,876.37","175,415,125.73",0.00,"352,569,002.11"
ITI2,"50,033.22","49,984.09",0.00,"100,017.30","40,115,540.41","39,486,734.66",0.00,"79,602,275.08"
ITI3,"112,011.60","103,350.71",0.00,"215,362.31","83,278,331.17","72,176,502.61",0.00,"155,454,833.78"
ITI4,"211,404.09","261,800.44",0.00,"473,204.53","166,606,325.48","232,483,891.86",0.00,"399,090,217.34"
NO02,"7,583.22","14,854.56",0.00,"22,437.78","8,692,712.93","18,822,734.00",0.00,"27,515,446.93"
NO08,"55,320.11","110,002.58","3,888.80","169,211.49","52,528,162.34","121,265,361.18","3,514,459.33","177,307,982.85"
NO09,"10,151.90","16,497.24","57,148.62","83,797.76","9,904,342.37","17,918,558.11","48,745,157.24","76,568,057.72"
NO0A,"7,976.26","14,922.92",0.00,"22,899.18","9,076,419.48","18,901,140.20",0.00,"27,977,559.67"
SE11,"92,126.48","112,576.60",0.00,"204,703.09","79,140,257.39","104,505,533.15",0.00,"183,645,790.54"
SE12,"105,343.71","128,866.64","15,139.73","249,350.08","96,762,352.82","126,601,518.74","13,741,761.33","237,105,632.88"
SE21,"100,039.73","100,019.44","17,664.62","217,723.79","88,547,201.03","90,542,782.44","13,635,836.59","192,725,820.06"
SE22,"239,990.68","266,382.42","122,183.79","628,556.89","191,805,902.59","215,938,374.64","88,493,065.93","496,237,343.16"
SE23,"228,594.50","251,022.66","116,006.14","595,623.30","205,160,639.98","230,573,100.44","79,340,716.02","515,074,456.43"
