path_id,path_length,total_driving_time,num_drivers,break_number,event_type,event_name,latest_node_idx,latest_geo_id,cumulative_distance,cumulative_driving_time,time_with_breaks,charging_type,id
0,562.751319695737,7.034391496196713,1,1,B,break,0,47,0.0,0.0,0.75,fast,0
1,524.5064912772308,6.556331140965385,1,1,B,break,0,50,0.0,0.0,0.75,fast,1
2,421.4602870616867,5.268253588271084,1,1,B,break,0,57,0.0,0.0,0.75,fast,2
3,462.8317551700629,5.785396939625786,1,1,B,break,0,58,0.0,0.0,0.75,fast,3
4,515.9471040968273,6.449338801210341,1,1,B,break,0,59,0.0,0.0,0.75,fast,4
5,540.1282309972506,6.751602887465633,1,1,B,break,0,60,0.0,0.0,0.75,fast,5
6,520.3835538164433,6.504794422705541,1,1,B,break,0,61,0.0,0.0,0.75,fast,6
7,565.2582889108613,7.065728611385767,1,1,B,break,0,62,0.0,0.0,0.75,fast,7
8,577.3195704915087,7.216494631143858,1,1,B,break,0,64,0.0,0.0,0.75,fast,8
9,698.1269774748108,8.726587218435135,1,1,B,break,0,65,0.0,0.0,0.75,fast,9
10,773.7240257190965,9.671550321488706,1,1,B,break,0,53,0.0,0.0,0.75,fast,10
11,838.5691031001428,10.482113788751786,1,1,B,break,0,54,0.0,0.0,0.75,fast,12
12,873.5423513357648,10.91927939169706,1,1,B,break,0,73,0.0,0.0,0.75,fast,14
13,881.8738644185908,11.023423305232384,1,1,B,break,0,74,0.0,0.0,0.75,fast,16
14,570.4966641394996,7.131208301743745,1,1,B,break,0,48,0.0,0.0,0.75,fast,18
15,561.8476948331988,7.023096185414985,1,1,B,break,0,49,0.0,0.0,0.75,fast,19
16,664.1991767379976,8.30248970922497,1,1,B,break,0,63,0.0,0.0,0.75,fast,20
17,683.7422885196376,8.546778606495469,1,1,B,break,0,51,0.0,0.0,0.75,fast,21
18,667.1121650782234,8.338902063477793,1,1,B,break,0,52,0.0,0.0,0.75,fast,22
19,876.9324344420761,10.961655430525951,1,1,B,break,0,55,0.0,0.0,0.75,fast,23
20,1014.3945898919596,12.679932373649496,1,1,B,break,0,56,0.0,0.0,0.75,fast,25
21,929.158011027325,11.614475137841563,1,1,B,break,0,67,0.0,0.0,0.75,fast,27
22,1167.6313364055297,14.595391705069122,1,1,B,break,0,66,0.0,0.0,0.75,fast,29
23,974.0065376569037,12.175081720711296,1,1,B,break,0,68,0.0,0.0,0.75,fast,32
24,1123.8415135727996,14.048018919659995,1,1,B,break,0,69,0.0,0.0,0.75,fast,34
25,720.1708227702235,9.002135284627794,1,1,B,break,0,70,0.0,0.0,0.75,fast,37
26,824.9731104651163,10.312163880813953,1,1,B,break,0,71,0.0,0.0,0.75,fast,39
27,868.6604982994226,10.858256228742782,1,1,B,break,0,72,0.0,0.0,0.75,fast,41
28,406.37405746273686,5.079675718284211,1,1,B,break,0,0,0.0,0.0,0.75,fast,43
29,841.326697370376,10.5165837171297,1,1,B,break,0,0,0.0,0.0,0.75,fast,44
30,859.968814968815,10.749610187110187,1,1,B,break,0,0,0.0,0.0,0.75,fast,46
31,877.567448680352,10.9695931085044,1,1,B,break,0,0,0.0,0.0,0.75,fast,48
32,694.4683432993317,8.680854291241646,1,1,B,break,0,0,0.0,0.0,0.75,fast,50
34,486.212399952216,6.0776549994027,1,1,B,break,0,0,0.0,0.0,0.75,fast,52
35,579.2944199870389,7.241180249837986,1,1,B,break,0,0,0.0,0.0,0.75,fast,53
36,448.00417781533116,5.600052222691639,1,1,B,break,0,0,0.0,0.0,0.75,fast,54
37,699.1326621818696,8.73915827727337,1,1,B,break,0,0,0.0,0.0,0.75,fast,55
38,847.5800638257931,10.594750797822414,1,1,B,break,0,0,0.0,0.0,0.75,fast,56
39,893.1960227272726,11.164950284090908,1,1,B,break,0,0,0.0,0.0,0.75,fast,58
40,875.3465078505684,10.941831348132105,1,1,B,break,0,0,0.0,0.0,0.75,fast,60
41,1067.5745637704622,13.344682047130778,1,1,B,break,0,0,0.0,0.0,0.75,fast,62
42,1086.5518084066473,13.58189760508309,1,1,B,break,0,0,0.0,0.0,0.75,fast,64
43,1149.7991452991453,14.372489316239315,1,1,B,break,0,0,0.0,0.0,0.75,fast,67
44,1255.7966636609558,15.697458295761948,1,1,B,break,0,0,0.0,0.0,0.75,fast,70
45,1340.5346373268135,16.756682966585167,1,1,B,break,0,0,0.0,0.0,0.75,fast,73
46,1398.5641986879102,17.482052483598878,1,1,B,break,0,0,0.0,0.0,0.75,fast,76
47,1601.020964360587,20.012762054507338,1,1,B,break,0,0,0.0,0.0,0.75,fast,79
48,1774.4795042898,22.1809938036225,1,1,B,break,0,0,0.0,0.0,0.75,fast,83
49,1960.2808988764045,24.503511235955056,1,1,B,break,0,0,0.0,0.0,0.75,fast,87
50,1904.9619565217392,23.81202445652174,1,1,B,break,0,0,0.0,0.0,0.75,fast,92
51,2128.1626506024095,26.602033132530117,1,1,B,break,0,0,0.0,0.0,0.75,fast,97
52,1856.4005167958658,23.205006459948322,1,1,B,break,0,0,0.0,0.0,0.75,fast,102
53,1736.8018518518518,21.710023148148146,1,1,B,break,0,0,0.0,0.0,0.75,fast,107
54,1534.2006369426751,19.17750796178344,1,1,B,break,0,0,0.0,0.0,0.75,fast,111
55,1268.2901307966708,15.853626634958385,1,1,B,break,0,0,0.0,0.0,0.75,fast,115
56,1587.491698595147,19.843646232439337,1,1,B,break,0,0,0.0,0.0,0.75,fast,118
57,415.5031477148005,5.193789346435006,1,1,B,break,0,1,0.0,0.0,0.75,fast,122
58,768.1565193216569,9.601956491520712,1,1,B,break,0,1,0.0,0.0,0.75,fast,123
59,795.7281105990784,9.94660138248848,1,1,B,break,0,1,0.0,0.0,0.75,fast,125
60,792.4615384615386,9.905769230769232,1,1,B,break,0,1,0.0,0.0,0.75,fast,127
61,612.5936873747495,7.657421092184369,1,1,B,break,0,1,0.0,0.0,0.75,fast,129
64,490.31038985263945,6.128879873157993,1,1,B,break,0,1,0.0,0.0,0.75,fast,132
65,609.6868904369854,7.621086130462318,1,1,B,break,0,1,0.0,0.0,0.75,fast,133
66,753.2965623396613,9.416207029245765,1,1,B,break,0,1,0.0,0.0,0.75,fast,134
67,803.3925925925926,10.042407407407406,1,1,B,break,0,1,0.0,0.0,0.75,fast,136
68,783.1296043656207,9.789120054570258,1,1,B,break,0,1,0.0,0.0,0.75,fast,138
69,970.1494968854815,12.12686871106852,1,1,B,break,0,1,0.0,0.0,0.75,fast,140
70,994.9972413793105,12.437465517241382,1,1,B,break,0,1,0.0,0.0,0.75,fast,142
71,1166.9743589743591,14.587179487179489,1,1,B,break,0,1,0.0,0.0,0.75,fast,144
72,1252.0990783410139,15.651238479262673,1,1,B,break,0,1,0.0,0.0,0.75,fast,147
73,1310.045871559633,16.37557339449541,1,1,B,break,0,1,0.0,0.0,0.75,fast,150
74,1515.4382022471912,18.94297752808989,1,1,B,break,0,1,0.0,0.0,0.75,fast,153
75,1856.0756097560977,23.20094512195122,1,1,B,break,0,1,0.0,0.0,0.75,fast,157
76,1941.0833333333333,24.263541666666665,1,1,B,break,0,1,0.0,0.0,0.75,fast,162
77,1821.5706521739132,22.769633152173917,1,1,B,break,0,1,0.0,0.0,0.75,fast,167
78,1616.5846153846153,20.20730769230769,1,1,B,break,0,1,0.0,0.0,0.75,fast,172
79,1355.6258992805754,16.945323741007194,1,1,B,break,0,1,0.0,0.0,0.75,fast,176
80,1674.1478873239437,20.926848591549295,1,1,B,break,0,1,0.0,0.0,0.75,fast,179
81,405.69310986964615,5.071163873370577,1,1,B,break,0,1,0.0,0.0,0.75,fast,183
82,1052.2535211267605,13.153169014084506,1,1,B,break,0,1,0.0,0.0,0.75,fast,184
83,2042.8275862068967,25.535344827586208,1,1,B,break,0,1,0.0,0.0,0.75,fast,186
84,1956.59649122807,24.457456140350875,1,1,B,break,0,1,0.0,0.0,0.75,fast,191
85,2176.9811320754716,27.212264150943394,1,1,B,break,0,1,0.0,0.0,0.75,fast,196
