region,charging_speed,strategy,lower_bound,upper_bound,reduction,resulting_min
ES211,slow,distributed expansion,10000,40000,0.14060235578586966,17.86302485994677
ES211,slow,distributed expansion,40000,60000,0.3471554080915528,13.569712755736514
ES211,slow,distributed expansion,60000,1000000,0.41310610461136626,12.198893392435236
ES211,slow,concentrated expansion,10000,40000,0.7228917064890126,5.759839312115728
ES211,slow,balanced expansion,10000,40000,0.37807901380495207,12.92694960489873
ES211,slow,balanced expansion,40000,60000,0.6242780158469932,7.809575914640767
ES211,slow,balanced expansion,60000,1000000,0.6624046975515001,7.017093101009513
ES211,fast,distributed expansion,10000,40000,0.20582579729272396,30.636292808432444
ES211,fast,distributed expansion,40000,60000,0.4686549727800955,20.497318825922072
ES211,fast,distributed expansion,60000,1000000,0.5256583509747431,18.29834008865285
ES211,fast,concentrated expansion,10000,40000,0.775,8.679664812076558
ES211,fast,concentrated expansion,40000,60000,0.8637627564304204,5.255527151578588
ES211,fast,balanced expansion,10000,40000,0.49688470506254734,19.408320541716122
ES211,fast,balanced expansion,40000,60000,0.6953642623112243,11.751715968525563
ES211,fast,balanced expansion,60000,1000000,0.7261387212474169,10.564551575907045
ES212,slow,distributed expansion,40000,60000,0.062202482114543316,10.594802387572486
ES212,slow,distributed expansion,60000,1000000,0.12440496422908678,9.892067529086122
ES212,slow,balanced expansion,10000,40000,0.19128675538079853,9.136468002466529
ES212,slow,balanced expansion,40000,60000,0.43945522906397927,6.332775427733219
ES212,slow,balanced expansion,60000,1000000,0.4963369473663615,5.690152096592229
ES212,fast,distributed expansion,10000,40000,0.05064148286354164,19.44146244758216
ES212,fast,distributed expansion,40000,60000,0.1883570642088057,16.62125042563002
ES212,fast,distributed expansion,60000,1000000,0.2754311626905282,14.838101293629181
ES212,fast,concentrated expansion,10000,40000,0.656306822878312,7.038329436023865
ES212,fast,balanced expansion,10000,40000,0.24382623085101007,15.485323691095772
ES212,fast,balanced expansion,40000,60000,0.5346612242174913,9.529451910398908
ES212,fast,balanced expansion,60000,1000000,0.5816699867329623,8.566781776139742
ES213,slow,balanced expansion,10000,40000,0.11198906434502992,8.410217092647168
ES213,slow,balanced expansion,40000,60000,0.29547078125634035,6.672489537954846
ES213,slow,balanced expansion,60000,1000000,0.366963433822621,5.995393452231373
ES213,fast,distributed expansion,40000,60000,0.03902277713535573,16.295803414693054
ES213,fast,distributed expansion,60000,1000000,0.07804555427071146,15.63407336556919
ES213,fast,concentrated expansion,10000,40000,0.5626786078866026,7.415892141205937
ES213,fast,balanced expansion,10000,40000,0.17403987973986762,14.006246379089442
ES213,fast,balanced expansion,40000,60000,0.4078945560286791,10.040647880251848
ES213,fast,balanced expansion,60000,1000000,0.4677093525776229,9.026336466141732
