,from,to,geometry,distance_own_calculation,distance_from_etis
0,ES130,ES412,"LINESTRING (-448472.80861041596 5342173.1278957045, -399135.8114713014 5217017.737478356)",103518.3743109153,154000
1,ES130,ES213,"LINESTRING (-448472.80861041596 5342173.1278957045, -317428.0057873621 5348379.496568517)",130060.24639826412,103000
2,ES213,ES412,"LINESTRING (-317428.0057873621 5348379.496568517, -399135.8114713014 5217017.737478356)",125309.04118911711,153000
3,ES213,ES211,"LINESTRING (-317428.0057873621 5348379.496568517, -302690.5123476263 5286948.344102458)",47046.15997553103,63000
4,ES213,ES212,"LINESTRING (-317428.0057873621 5348379.496568517, -244275.1811122166 5333914.641118444)",72863.86806085426,97000
5,ES412,ES211,"LINESTRING (-399135.8114713014 5217017.737478356, -302690.5123476263 5286948.344102458)",108598.8026450936,114000
6,ES412,ES230,"LINESTRING (-399135.8114713014 5217017.737478356, -280191.51614454977 5202215.799557598)",117802.6583248323,115000
7,ES211,ES212,"LINESTRING (-302690.5123476263 5286948.344102458, -244275.1811122166 5333914.641118444)",66558.7286940117,99000
8,ES211,ES220,"LINESTRING (-302690.5123476263 5286948.344102458, -183164.22353152753 5261915.710224784)",120022.72958942519,98000
9,ES211,ES230,"LINESTRING (-302690.5123476263 5286948.344102458, -280191.51614454977 5202215.799557598)",65728.03442701757,96000
10,ES212,ES220,"LINESTRING (-244275.1811122166 5333914.641118444, -183164.22353152753 5261915.710224784)",80018.38522256217,85000
11,ES220,ES230,"LINESTRING (-183164.22353152753 5261915.710224784, -280191.51614454977 5202215.799557598)",105091.40337650973,89000
