,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6194993,16718530,110020103,110020103,2,154497612,0
3564109,14087646,110020103,110020103,4,68680284,0
933225,11456762,110020103,110020103,1,12999569,0
3562487,14086024,110020102,110020103,4,2119121,1642729
6193371,16716908,110020102,110020103,2,1816570,894862
6190127,16713664,110010300,110020103,2,863093,425169
3559243,14082780,110010300,110020103,4,852344,660732
6191749,16715286,110020101,110020103,2,744248,366625
3560865,14084402,110020101,110020103,4,668142,517940
931603,11455140,110020102,110020103,1,306704,237755
928359,11451896,110010300,110020103,1,261822,202963
929981,11453518,110020101,110020103,1,239824,185910
8824255,19347792,110020102,110020103,3,151790,61206
6196615,16720152,110020200,110020103,2,17140,8443
6207969,16731506,110040102,110020103,2,16072,7917
8821011,19344548,110010300,110020103,3,12125,4889
3567353,14090890,110020300,110020103,4,11374,8817
6198237,16721774,110020300,110020103,2,9673,4765
8822633,19346170,110020101,110020103,3,8139,3282
8827499,19351036,110020200,110020103,3,7849,3165
3577085,14100622,110040102,110020103,4,5886,4563
3565731,14089268,110020200,110020103,4,5319,4123
936469,11460006,110020300,110020103,1,4549,3526
934847,11458384,110020200,110020103,1,4061,3148
8838853,19362390,110040102,110020103,3,3712,1497
8829121,19352658,110020300,110020103,3,2892,1166
946201,11469738,110040102,110020103,1,1361,1055
8825877,19349414,110020103,110020103,3,0,0
