,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
5,14084410,110020101,110040102,4,435705,337756
7,14084403,110020101,110020200,4,237828,184362
8,16715287,110020101,110020200,2,212824,104839
9,16715294,110020101,110040102,2,195875,96490
12,14084404,110020101,110020300,4,160207,124192
13,16715288,110020101,110020300,2,152117,74934
14,16715283,110020101,110010300,2,55752,27464
15,11453526,110020101,110040102,1,51712,40087
17,19346167,110020101,110010300,3,40905,16494
18,14084399,110020101,110010300,4,40078,31068
19,11453519,110020101,110020200,1,38920,30170
20,19346171,110020101,110020200,3,37701,15202
21,19346178,110020101,110040102,3,34982,14106
22,19346172,110020101,110020300,3,23941,9654
23,11453520,110020101,110020300,1,22388,17355
24,11453515,110020101,110010300,1,15304,11863
28,16715284,110020101,110020101,2,41569230,0
29,14084400,110020101,110020101,4,19659546,0
30,11453516,110020101,110020101,1,3721091,0
36,16731504,110040102,110020101,2,243964,120179
37,14100620,110040102,110020101,4,180657,140044
38,14090888,110020300,110020101,4,176060,136481
39,16720150,110020200,110020101,2,140029,68980
40,16721772,110020300,110020101,2,138604,68278
41,14089266,110020200,110020101,4,104051,80660
43,14082778,110010300,110020101,4,76229,59092
44,11460004,110020300,110020101,1,41962,32529
45,16713662,110010300,110020101,2,36770,18113
47,11469736,110040102,110020101,1,35400,27441
49,19351034,110020200,110020101,3,19202,7743
50,11458382,110020200,110020101,1,17836,13826
51,19344546,110010300,110020101,3,11337,4571
52,11451894,110010300,110020101,1,10985,8516
53,19362388,110040102,110020101,3,8205,3308
54,19352656,110020300,110020101,3,8165,3292
61,14086025,110020102,110020200,4,1653605,1281865
62,16716909,110020102,110020200,2,1374572,677129
63,19347793,110020102,110020200,3,620621,250250
64,14086022,110020102,110020101,4,526344,408019
65,16716906,110020102,110020101,2,421149,207463
66,11455141,110020102,110020200,1,325070,251992
69,14086032,110020102,110040102,4,103249,80038
70,11455138,110020102,110020101,1,87568,67882
71,19347789,110020102,110010300,3,72043,29050
72,16716916,110020102,110040102,2,71189,35068
73,16716905,110020102,110010300,2,63707,31383
74,16716910,110020102,110020300,2,46652,22981
75,19347790,110020102,110020101,3,36227,14608
76,19347800,110020102,110040102,3,34251,13811
77,11455148,110020102,110040102,1,26174,20290
78,19347794,110020102,110020300,3,22503,9074
79,14086021,110020102,110010300,4,20724,16065
80,14086026,110020102,110020300,4,15380,11923
81,11455137,110020102,110010300,1,15132,11730
82,11455142,110020102,110020300,1,10481,8125
84,16716907,110020102,110020102,2,92845325,0
85,14086023,110020102,110020102,4,43213321,0
86,11455139,110020102,110020102,1,8179269,0
89,16720151,110020200,110020102,2,715402,352415
90,14089267,110020200,110020102,4,473759,367255
92,14084401,110020101,110020102,4,192195,148988
93,16715285,110020101,110020102,2,173307,85373
95,11458383,110020200,110020102,1,79004,61244
96,11453517,110020101,110020102,1,51146,39648
97,19351035,110020200,110020102,3,15247,6148
98,16713663,110010300,110020102,2,9619,4739
99,19344547,110010300,110020102,3,6820,2750
100,19346169,110020101,110020102,3,5815,2345
101,11451895,110010300,110020102,1,5510,4271
102,14082779,110010300,110020102,4,4707,3649
103,16721773,110020300,110020102,2,3235,1594
104,19362389,110040102,110020102,3,2798,1128
105,19352657,110020300,110020102,3,2660,1073
106,16731505,110040102,110020102,2,2636,1298
107,11460005,110020300,110020102,1,2162,1676
108,11469737,110040102,110020102,1,776,601
109,14090889,110020300,110020102,4,622,482
110,14100621,110040102,110020102,4,575,445
115,14087645,110020103,110020102,4,2433031,1886071
