;Unnamed: 0;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
0;28;16715284;110020101;110020101;2;41569230;0;[('ES211', 'ES211')]
1;29;14084400;110020101;110020101;4;19659546;0;[('ES211', 'ES211')]
2;30;11453516;110020101;110020101;1;3721091;0;[('ES211', 'ES211')]
3;64;14086022;110020102;110020101;4;526344;408019;[('ES212', 'ES211')]
4;65;16716906;110020102;110020101;2;421149;207463;[('ES212', 'ES211')]
5;69;11455138;110020102;110020101;1;87568;67882;[('ES212', 'ES211')]
6;73;19347790;110020102;110020101;3;36227;14608;[('ES212', 'ES211')]
7;84;16716907;110020102;110020102;2;92845325;0;[('ES212', 'ES212')]
8;85;14086023;110020102;110020102;4;43213321;0;[('ES212', 'ES212')]
9;86;11455139;110020102;110020102;1;8179269;0;[('ES212', 'ES212')]
10;92;14084401;110020101;110020102;4;192195;148988;[('ES211', 'ES212')]
11;93;16715285;110020101;110020102;2;173307;85373;[('ES211', 'ES212')]
12;96;11453517;110020101;110020102;1;51146;39648;[('ES211', 'ES212')]
13;100;19346169;110020101;110020102;3;5815;2345;[('ES211', 'ES212')]
14;115;14087645;110020103;110020102;4;2433031;1886071;[('ES213','ES212')]
15;116;14087644;110020103;110020101;4;2224333;1724289;[('ES213','ES211')]
16;117;16718528;110020103;110020101;2;2039839;1004847;[('ES213','ES211')]
17;118;16718529;110020103;110020102;2;2006675;988510;[('ES213','ES212')]
18;121;11456760;110020103;110020101;1;507044;393057;[('ES213','ES211')]
19;122;11456761;110020103;110020102;1;362523;281026;[('ES213','ES212')]
20;129;19349413;110020103;110020102;3;85508;34479;[('ES213','ES212')]
21;133;19349412;110020103;110020101;3;27021;10896;[('ES213','ES211')]
22;140;16718530;110020103;110020103;2;154497612;0;[('ES213', 'ES213')]
23;141;14087646;110020103;110020103;4;68680284;0;[('ES213', 'ES213')]
24;142;11456762;110020103;110020103;1;12999569;0;[('ES213', 'ES213')]
25;143;14086024;110020102;110020103;4;2119121;1642729;[('ES212', 'ES213')]
26;144;16716908;110020102;110020103;2;1816570;894862;[('ES212', 'ES213')]
27;147;16715286;110020101;110020103;2;744248;366625;[('ES211','ES213')]
28;148;14084402;110020101;110020103;4;668142;517940;[('ES211','ES213')]
29;149;11455140;110020102;110020103;1;306704;237755;[('ES212', 'ES213')]
30;151;11453518;110020101;110020103;1;239824;185910;[('ES211','ES213')]
31;152;19347792;110020102;110020103;3;151790;61206;[('ES212', 'ES213')]
32;157;19346170;110020101;110020103;3;8139;3282;[('ES211','ES213')]
33;171;16720151;110020200;110020102;2;715402;352415;[('ES220', 'ES212')]
34;172;14089267;110020200;110020102;4;473759;367255;[('ES220', 'ES212')]
35;174;16720150;110020200;110020101;2;140029;68980;[('ES220', 'ES211]
36;175;14089266;110020200;110020101;4;104051;80660;[('ES220', 'ES211]
37;177;11458383;110020200;110020102;1;79004;61244;[('ES220', 'ES212')]
38;180;19351034;110020200;110020101;3;19202;7743;[('ES220', 'ES211]
39;182;11458382;110020200;110020101;1;17836;13826;[('ES220', 'ES211]
