;Unnamed: 0;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
0;5;14084410;110020101;110040102;4;435705;337756;
1;7;14084403;110020101;110020200;4;237828;184362;"[(""ES211"", ""ES220"")]"
2;8;16715287;110020101;110020200;2;212824;104839;"[(""ES211"", ""ES220"")]"
3;9;16715294;110020101;110040102;2;195875;96490;
4;12;14084404;110020101;110020300;4;160207;124192;"[(""ES211"", ""ES230"")]"
5;13;16715288;110020101;110020300;2;152117;74934;"[(""ES211"", ""ES230"")]"
6;14;16715283;110020101;110010300;2;55752;27464;"[(""ES211"", ""ES213"",""ES130"")]"
7;15;11453526;110020101;110040102;1;51712;40087;
8;17;19346167;110020101;110010300;3;40905;16494;"[(""ES211"", ""ES213"",""ES130"")]"
9;18;14084399;110020101;110010300;4;40078;31068;"[(""ES211"", ""ES213"",""ES130"")]"
10;19;11453519;110020101;110020200;1;38920;30170;"[(""ES211"", ""ES220"")]"
11;20;19346171;110020101;110020200;3;37701;15202;"[(""ES211"", ""ES220"")]"
12;21;19346178;110020101;110040102;3;34982;14106;
13;22;19346172;110020101;110020300;3;23941;9654;"[(""ES211"", ""ES230"")]"
14;23;11453520;110020101;110020300;1;22388;17355;"[(""ES211"", ""ES230"")]"
15;24;11453515;110020101;110010300;1;15304;11863;"[(""ES211"", ""ES213"",""ES130"")]"
16;28;16715284;110020101;110020101;2;41569230;0;[('ES211', 'ES211')]
17;29;14084400;110020101;110020101;4;19659546;0;[('ES211', 'ES211')]
18;30;11453516;110020101;110020101;1;3721091;0;[('ES211', 'ES211')]
19;36;16731504;110040102;110020101;2;243964;120179;
20;37;14100620;110040102;110020101;4;180657;140044;
21;38;14090888;110020300;110020101;4;176060;136481;"[(""ES230"",""ES211"")]"
22;39;16720150;110020200;110020101;2;140029;68980;"[(""ES220"", ""ES211]"
23;40;16721772;110020300;110020101;2;138604;68278;"[(""ES230"",""ES211"")]"
24;41;14089266;110020200;110020101;4;104051;80660;"[(""ES220"", ""ES211]"
25;43;14082778;110010300;110020101;4;76229;59092;"[(""ES130"", ""ES213"",""ES211"")]"
26;44;11460004;110020300;110020101;1;41962;32529;"[(""ES230"",""ES211"")]"
27;45;16713662;110010300;110020101;2;36770;18113;"[(""ES130"", ""ES213"",""ES211"")]"
28;47;11469736;110040102;110020101;1;35400;27441;
29;49;19351034;110020200;110020101;3;19202;7743;"[(""ES220"", ""ES211]"
30;50;11458382;110020200;110020101;1;17836;13826;"[(""ES220"", ""ES211]"
31;51;19344546;110010300;110020101;3;11337;4571;"[(""ES130"", ""ES213"",""ES211"")]"
32;52;11451894;110010300;110020101;1;10985;8516;"[(""ES130"", ""ES213"",""ES211"")]"
33;53;19362388;110040102;110020101;3;8205;3308;
34;54;19352656;110020300;110020101;3;8165;3292;"[(""ES230"",""ES211"")]"
35;61;14086025;110020102;110020200;4;1653605;1281865;"[(""ES212"", ""ES220"")]"
36;62;16716909;110020102;110020200;2;1374572;677129;"[(""ES212"", ""ES220"")]"
37;63;19347793;110020102;110020200;3;620621;250250;"[(""ES212"", ""ES220"")]"
38;64;14086022;110020102;110020101;4;526344;408019;"[(""ES212"", ""ES211"")]"
39;65;16716906;110020102;110020101;2;421149;207463;"[(""ES212"", ""ES211"")]"
40;66;11455141;110020102;110020200;1;325070;251992;"[(""ES212"", ""ES220"")]"
41;69;14086032;110020102;110040102;4;103249;80038;
42;70;11455138;110020102;110020101;1;87568;67882;"[(""ES212"", ""ES211"")]"
43;71;19347789;110020102;110010300;3;72043;29050;"[(""ES212"", ""ES213"", ""ES130"")]"
44;72;16716916;110020102;110040102;2;71189;35068;
45;73;16716905;110020102;110010300;2;63707;31383;"[(""ES212"", ""ES213"", ""ES130"")]"
46;74;16716910;110020102;110020300;2;46652;22981;"[(""ES212"", ""ES220"", ""ES230"")]"
47;75;19347790;110020102;110020101;3;36227;14608;"[(""ES212"", ""ES211"")]"
48;76;19347800;110020102;110040102;3;34251;13811;
49;77;11455148;110020102;110040102;1;26174;20290;
50;78;19347794;110020102;110020300;3;22503;9074;"[(""ES212"", ""ES220"", ""ES230"")]"
51;79;14086021;110020102;110010300;4;20724;16065;"[(""ES212"", ""ES213"", ""ES130"")]"
52;80;14086026;110020102;110020300;4;15380;11923;"[(""ES212"", ""ES220"", ""ES230"")]"
53;81;11455137;110020102;110010300;1;15132;11730;"[(""ES212"", ""ES213"", ""ES130"")]"
54;82;11455142;110020102;110020300;1;10481;8125;"[(""ES212"", ""ES220"", ""ES230"")]"
55;84;16716907;110020102;110020102;2;92845325;0;[('ES212', 'ES212')]
56;85;14086023;110020102;110020102;4;43213321;0;[('ES212', 'ES212')]
57;86;11455139;110020102;110020102;1;8179269;0;[('ES212', 'ES212')]
58;89;16720151;110020200;110020102;2;715402;352415;"[(""ES220"", ""ES212"")]"
59;90;14089267;110020200;110020102;4;473759;367255;"[(""ES220"", ""ES212"")]"
60;92;14084401;110020101;110020102;4;192195;148988;"[(""ES211"", ""ES212"")]"
61;93;16715285;110020101;110020102;2;173307;85373;"[(""ES211"", ""ES212"")]"
62;95;11458383;110020200;110020102;1;79004;61244;"[(""ES220"", ""ES212"")]"
63;96;11453517;110020101;110020102;1;51146;39648;"[(""ES211"", ""ES212"")]"
64;97;19351035;110020200;110020102;3;15247;6148;"[(""ES220"", ""ES212"")]"
65;98;16713663;110010300;110020102;2;9619;4739;"[(""ES130"", ""ES213"", ""ES212"")]"
66;99;19344547;110010300;110020102;3;6820;2750;"[(""ES130"", ""ES213"", ""ES212"")]"
67;100;19346169;110020101;110020102;3;5815;2345;"[(""ES211"", ""ES212"")]"
68;101;11451895;110010300;110020102;1;5510;4271;"[(""ES130"", ""ES213"", ""ES212"")]"
69;102;14082779;110010300;110020102;4;4707;3649;"[(""ES130"", ""ES213"", ""ES212"")]"
70;103;16721773;110020300;110020102;2;3235;1594;"[(""ES230"", ""ES220"", ""ES212"")]"
71;104;19362389;110040102;110020102;3;2798;1128;
72;105;19352657;110020300;110020102;3;2660;1073;"[(""ES230"", ""ES220"", ""ES212"")]"
73;106;16731505;110040102;110020102;2;2636;1298;
74;107;11460005;110020300;110020102;1;2162;1676;"[(""ES230"", ""ES220"", ""ES212"")]"
75;108;11469737;110040102;110020102;1;776;601;
76;109;14090889;110020300;110020102;4;622;482;"[(""ES230"", ""ES220"", ""ES212"")]"
77;110;14100621;110040102;110020102;4;575;445;
78;115;14087645;110020103;110020102;4;2433031;1886071;"[(""ES213"",""ES212"")]"
79;116;14087644;110020103;110020101;4;2224333;1724289;"[(""ES213"",""ES211"")]"
80;117;16718528;110020103;110020101;2;2039839;1004847;"[(""ES213"",""ES211"")]"
81;118;16718529;110020103;110020102;2;2006675;988510;"[(""ES213"",""ES212"")]"
82;119;14087643;110020103;110010300;4;1306539;1012821;"[(""ES213"",""ES130"")]"
83;120;16718527;110020103;110010300;2;1271743;626474;"[(""ES213"",""ES130"")]"
84;121;14087654;110020103;110040102;4;1029469;798038;
85;122;11456760;110020103;110020101;1;507044;393057;"[(""ES213"",""ES211"")]"
86;123;16718538;110020103;110040102;2;381850;188104;
