,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6190124,16713661,110010300,110010300,2,68978328,0
3559240,14082777,110010300,110010300,4,31408590,0
928356,11451893,110010300,110010300,1,5944910,0
6190127,16713664,110010300,110020103,2,863093,425169
3559243,14082780,110010300,110020103,4,852344,660732
3559251,14082788,110010300,110040102,4,334750,259496
928359,11451896,110010300,110020103,1,261822,202963
6190135,16713672,110010300,110040102,2,153455,75594
3559241,14082778,110010300,110020101,4,76229,59092
8821019,19344556,110010300,110040102,3,54957,22160
928367,11451904,110010300,110040102,1,40617,31486
6190125,16713662,110010300,110020101,2,36770,18113
6190129,16713666,110010300,110020300,2,24214,11928
6190128,16713665,110010300,110020200,2,24081,11862
8821012,19344549,110010300,110020200,3,23422,9444
8821013,19344550,110010300,110020300,3,17363,7001
8821011,19344548,110010300,110020103,3,12125,4889
8821009,19344546,110010300,110020101,3,11337,4571
928357,11451894,110010300,110020101,1,10985,8516
3559245,14082782,110010300,110020300,4,9644,7476
6190126,16713663,110010300,110020102,2,9619,4739
928360,11451897,110010300,110020200,1,8556,6633
928361,11451898,110010300,110020300,1,7035,5453
8821010,19344547,110010300,110020102,3,6820,2750
928358,11451895,110010300,110020102,1,5510,4271
3559242,14082779,110010300,110020102,4,4707,3649
8821008,19344545,110010300,110010300,3,0,0
3559244,14082781,110010300,110020200,4,0,0
