,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
17,19346171,110020101,110020200,3,37701,15202
19,11453520,110020101,110020300,1,22388,17355
20,11453515,110020101,110010300,1,15304,11863
27,14084418,110020101,110040201,4,0,0
47,11458382,110020200,110020101,1,17836,13826
49,11451894,110010300,110020101,1,10985,8516
50,19352656,110020300,110020101,3,8165,3292
54,19346168,110020101,110020101,3,0,0
55,14113596,110040201,110020101,4,0,0
66,11455141,110020102,110020200,1,325070,251992
73,19347790,110020102,110020101,3,36227,14608
77,11455137,110020102,110010300,1,15132,11730
78,11455142,110020102,110020300,1,10481,8125
83,14086040,110020102,110040201,4,0,0
97,19351035,110020200,110020102,3,15247,6148
100,19346169,110020101,110020102,3,5815,2345
102,14082779,110010300,110020102,4,4707,3649
106,14090889,110020300,110020102,4,622,482
110,19347791,110020102,110020102,3,0,0
111,14113597,110040201,110020102,4,0,0
125,19349411,110020103,110010300,3,152684,61566
129,19349413,110020103,110020102,3,85508,34479
131,11456763,110020103,110020200,1,30120,23349
133,19349412,110020103,110020101,3,27021,10896
134,11456764,110020103,110020300,1,25429,19712
139,14087662,110020103,110040201,4,0,0
152,19347792,110020102,110020103,3,151790,61206
154,19344548,110010300,110020103,3,12125,4889
157,19346170,110020101,110020103,3,8139,3282
161,11458384,110020200,110020103,1,4061,3148
162,19352658,110020300,110020103,3,2892,1166
166,19349414,110020103,110020103,3,0,0
167,14113598,110040201,110020103,4,0,0
