;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
17;19346171;110020101;110020200;3;37701;15202;'[("ES211", "ES220")]'
19;11453520;110020101;110020300;1;22388;17355;'[("ES211", "ES230")]'
20;11453515;110020101;110010300;1;15304;11863;'[("ES211", "ES213","ES130")]'
47;11458382;110020200;110020101;1;17836;13826;'[("ES220", "ES211]'
49;11451894;110010300;110020101;1;10985;8516;'[("ES130", "ES213","ES211")]'
50;19352656;110020300;110020101;3;8165;3292;'[("ES230","ES211")]'
66;11455141;110020102;110020200;1;325070;251992;'[("ES212", "ES220")]'
73;19347790;110020102;110020101;3;36227;14608;'[("ES212", "ES211")]'
77;11455137;110020102;110010300;1;15132;11730;'[("ES212", "ES213", "ES130")]'
78;11455142;110020102;110020300;1;10481;8125;'[("ES212", "ES220", "ES230")]'
97;19351035;110020200;110020102;3;15247;6148;'[("ES220", "ES212")]'
100;19346169;110020101;110020102;3;5815;2345;'[("ES211", "ES212")]'
102;14082779;110010300;110020102;4;4707;3649;'[("ES130", "ES213", "ES212")]'
106;14090889;110020300;110020102;4;622;482;'[("ES230", "ES220", "ES212")]'
125;19349411;110020103;110010300;3;152684;61566;'[("ES213","ES130")]'
129;19349413;110020103;110020102;3;85508;34479;'[("ES213","ES212")]'
131;11456763;110020103;110020200;1;30120;23349;'[("ES213","ES212", "ES220")]'
133;19349412;110020103;110020101;3;27021;10896;'[("ES213","ES211")]'
134;11456764;110020103;110020300;1;25429;19712;'[("ES213","ES211", "ES230")]'
152;19347792;110020102;110020103;3;151790;61206;'[("ES212", "ES213")]'
154;19344548;110010300;110020103;3;12125;4889;'[("ES130", "ES213")]'
157;19346170;110020101;110020103;3;8139;3282;'[("ES211","ES213")]'
161;11458384;110020200;110020103;1;4061;3148;'[("ES220","ES212", "ES213")]'
162;19352658;110020300;110020103;3;2892;1166;'[("ES230","ES211", "ES213")]'
