,from,to,type,num_trips,pkm,veh_flow,purpose,path,distance
0,ES211,ES211,region_urban,25301409.984798655,354219739787.18115,0.0,2,"[('ES211', 'ES211')]",14000
1,ES211,ES211,region_rural,16267820.015201347,260285120243.22156,0.0,2,"[('ES211', 'ES211')]",16000
2,ES211,ES211,region_urban,11965923.67626267,215386626172.72806,0.0,4,"[('ES211', 'ES211')]",18000
3,ES211,ES211,region_rural,7693622.323737331,353906626891.91724,0.0,4,"[('ES211', 'ES211')]",46000
4,ES211,ES211,region_urban,2264868.725779727,36237899612.47564,0.0,1,"[('ES211', 'ES211')]",16000
5,ES211,ES211,region_rural,1456222.274220273,34949334581.28655,0.0,1,"[('ES211', 'ES211')]",24000
6,ES212,ES211,interregional,526344.0,104216112000.0,408019.0,1,"[('ES212', 'ES211')]",198000
7,ES212,ES211,interregional,421149.0,83387502000.0,207463.0,1,"[('ES212', 'ES211')]",198000
8,ES212,ES211,interregional,87568.0,17338464000.0,67882.0,1,"[('ES212', 'ES211')]",198000
9,ES212,ES211,interregional,36227.0,7172946000.0,14608.0,1,"[('ES212', 'ES211')]",198000
10,ES212,ES212,region_urban,14691564.740759693,205681906370.6357,0.0,2,"[('ES212', 'ES212')]",14000
11,ES212,ES212,region_rural,78153760.2592403,1250460164147.845,0.0,2,"[('ES212', 'ES212')]",16000
12,ES212,ES212,region_urban,6837945.832326295,123083024981.87332,0.0,4,"[('ES212', 'ES212')]",18000
13,ES212,ES212,region_rural,36375375.16767371,1673267257712.9905,0.0,4,"[('ES212', 'ES212')]",46000
14,ES212,ES212,region_urban,1294262.9049506672,20708206479.210674,0.0,1,"[('ES212', 'ES212')]",16000
15,ES212,ES212,region_rural,6885006.095049333,165240146281.184,0.0,1,"[('ES212', 'ES212')]",24000
16,ES211,ES212,interregional,192195.0,38054610000.0,148988.0,1,"[('ES211', 'ES212')]",198000
17,ES211,ES212,interregional,173307.0,34314786000.0,85373.0,1,"[('ES211', 'ES212')]",198000
18,ES211,ES212,interregional,51146.0,10126908000.0,39648.0,1,"[('ES211', 'ES212')]",198000
19,ES211,ES212,interregional,5815.0,1151370000.0,2345.0,1,"[('ES211', 'ES212')]",198000
20,ES213,ES212,interregional,2433031.0,472008014000.0,1886071.0,1,"[('ES213','ES212')]",194000
21,ES213,ES211,interregional,2224333.0,280265958000.0,1724289.0,1,"[('ES213','ES211')]",126000
22,ES213,ES211,interregional,2039839.0,257019714000.0,1004847.0,1,"[('ES213','ES211')]",126000
23,ES213,ES212,interregional,2006675.0,389294950000.0,988510.0,1,"[('ES213','ES212')]",194000
24,ES213,ES211,interregional,507044.0,63887544000.0,393057.0,1,"[('ES213','ES211')]",126000
25,ES213,ES212,interregional,362523.0,70329462000.0,281026.0,1,"[('ES213','ES212')]",194000
26,ES213,ES212,interregional,85508.0,16588552000.0,34479.0,1,"[('ES213','ES212')]",194000
27,ES213,ES211,interregional,27021.0,3404646000.0,10896.0,1,"[('ES213','ES211')]",126000
28,ES213,ES213,region_urban,39595047.12881984,554330659803.4778,0.0,2,"[('ES213', 'ES213')]",14000
29,ES213,ES213,region_rural,114902564.87118016,1838441037938.8826,0.0,2,"[('ES213', 'ES213')]",16000
30,ES213,ES213,region_urban,17601560.61053378,316828090989.60803,0.0,4,"[('ES213', 'ES213')]",18000
31,ES213,ES213,region_rural,51078723.38946622,2349621275915.4463,0.0,4,"[('ES213', 'ES213')]",46000
32,ES213,ES213,region_urban,3331563.126097673,53305010017.562775,0.0,1,"[('ES213', 'ES213')]",16000
33,ES213,ES213,region_rural,9668005.873902326,232032140973.65585,0.0,1,"[('ES213', 'ES213')]",24000
34,ES212,ES213,interregional,2119121.0,411109474000.0,1642729.0,1,"[('ES212', 'ES213')]",194000
35,ES212,ES213,interregional,1816570.0,352414580000.0,894862.0,1,"[('ES212', 'ES213')]",194000
36,ES211,ES213,interregional,744248.0,93775248000.0,366625.0,1,"[('ES211','ES213')]",126000
37,ES211,ES213,interregional,668142.0,84185892000.0,517940.0,1,"[('ES211','ES213')]",126000
38,ES212,ES213,interregional,306704.0,59500576000.0,237755.0,1,"[('ES212', 'ES213')]",194000
39,ES211,ES213,interregional,239824.0,30217824000.0,185910.0,1,"[('ES211','ES213')]",126000
40,ES212,ES213,interregional,151790.0,29447260000.0,61206.0,1,"[('ES212', 'ES213')]",194000
41,ES211,ES213,interregional,8139.0,1025514000.0,3282.0,1,"[('ES211','ES213')]",126000
42,ES220,ES212,interregional,715402.0,121618340000.0,352415.0,1,"[('ES220', 'ES212')]",170000
43,ES220,ES212,interregional,473759.0,80539030000.0,367255.0,1,"[('ES220', 'ES212')]",170000
44,ES220,ES211,interregional,140029.0,27445684000.0,68980.0,1,"[('ES220', 'ES211')]",196000
45,ES220,ES211,interregional,104051.0,20393996000.0,80660.0,1,"[('ES220', 'ES211')]",196000
46,ES220,ES212,interregional,79004.0,13430680000.0,61244.0,1,"[('ES220', 'ES212')]",170000
47,ES220,ES211,interregional,19202.0,3763592000.0,7743.0,1,"[('ES220', 'ES211')]",196000
48,ES220,ES211,interregional,17836.0,3495856000.0,13826.0,1,"[('ES220', 'ES211')]",196000
49,ES220,ES213,interregional,17140.0,5347680000.0,8443.0,1,"[('ES220','ES212', 'ES213')]",312000
50,ES220,ES212,interregional,15247.0,2591990000.0,6148.0,1,"[('ES220', 'ES212')]",170000
51,ES220,ES213,interregional,7849.0,2448888000.0,3165.0,1,"[('ES220','ES212', 'ES213')]",312000
52,ES220,ES213,interregional,5319.0,1659528000.0,4123.0,1,"[('ES220','ES212', 'ES213')]",312000
53,ES220,ES213,interregional,4061.0,1267032000.0,3148.0,1,"[('ES220','ES212', 'ES213')]",312000
54,ES220,ES220,region_urban,17157208.187707614,240200914627.90662,0.0,2,"[('ES220', 'ES220')]",14000
55,ES220,ES220,region_rural,69584917.81229238,1113358684996.6782,0.0,2,"[('ES220', 'ES220')]",16000
56,ES220,ES220,region_urban,8027620.206930554,144497163724.74997,0.0,4,"[('ES220', 'ES220')]",18000
57,ES220,ES220,region_rural,32557819.79306945,1497659710481.1946,0.0,4,"[('ES220', 'ES220')]",46000
58,ES220,ES220,region_urban,1519440.442727102,24311047083.633633,0.0,1,"[('ES220', 'ES220')]",16000
59,ES220,ES220,region_rural,6162432.557272898,147898381374.54956,0.0,1,"[('ES220', 'ES220')]",24000
60,ES212,ES220,interregional,1653605.0,281112850000.0,1281865.0,1,"[('ES212', 'ES220')]",170000
61,ES212,ES220,interregional,1374572.0,233677240000.0,677129.0,1,"[('ES212', 'ES220')]",170000
62,ES212,ES220,interregional,620621.0,105505570000.0,250250.0,1,"[('ES212', 'ES220')]",170000
63,ES212,ES220,interregional,325070.0,55261900000.0,251992.0,1,"[('ES212', 'ES220')]",170000
64,ES211,ES220,interregional,237828.0,46614288000.0,184362.0,1,"[('ES211', 'ES220')]",196000
65,ES211,ES220,interregional,212824.0,41713504000.0,104839.0,1,"[('ES211', 'ES220')]",196000
66,ES213,ES220,interregional,130707.0,40780584000.0,101323.0,1,"[('ES213','ES212', 'ES220')]",312000
67,ES213,ES220,interregional,127819.0,39879528000.0,62965.0,1,"[('ES213','ES212', 'ES220')]",312000
68,ES213,ES220,interregional,39964.0,12468768000.0,16115.0,1,"[('ES213','ES212', 'ES220')]",312000
69,ES211,ES220,interregional,38920.0,7628320000.0,30170.0,1,"[('ES211', 'ES220')]",196000
70,ES211,ES220,interregional,37701.0,7389396000.0,15202.0,1,"[('ES211', 'ES220')]",196000
71,ES213,ES220,interregional,30120.0,9397440000.0,23349.0,1,"[('ES213','ES212', 'ES220')]",312000
72,ES230,ES220,interregional,462085.0,82251130000.0,358205.0,1,"[('ES230', 'ES220')]",178000
73,ES230,ES220,interregional,371516.0,66129848000.0,183013.0,1,"[('ES230', 'ES220')]",178000
74,ES230,ES211,interregional,176060.0,33803520000.0,136481.0,1,"[('ES230','ES211')]",192000
75,ES230,ES211,interregional,138604.0,26611968000.0,68278.0,1,"[('ES230','ES211')]",192000
76,ES230,ES220,interregional,116300.0,20701400000.0,90155.0,1,"[('ES230', 'ES220')]",178000
77,ES230,ES211,interregional,41962.0,8056704000.0,32529.0,1,"[('ES230','ES211')]",192000
78,ES230,ES220,interregional,30668.0,5458904000.0,12366.0,1,"[('ES230', 'ES220')]",178000
79,ES230,ES213,interregional,11374.0,3048232000.0,8817.0,1,"[('ES230','ES211', 'ES213')]",268000
80,ES230,ES213,interregional,9673.0,2592364000.0,4765.0,1,"[('ES230','ES211', 'ES213')]",268000
81,ES230,ES211,interregional,8165.0,1567680000.0,3292.0,1,"[('ES230','ES211')]",192000
82,ES230,ES213,interregional,4549.0,1219132000.0,3526.0,1,"[('ES230','ES211', 'ES213')]",268000
83,ES230,ES212,interregional,3235.0,1242240000.0,1594.0,1,"[('ES230', 'ES220', 'ES212')]",384000
84,ES230,ES213,interregional,2892.0,775056000.0,1166.0,1,"[('ES230','ES211', 'ES213')]",268000
85,ES230,ES212,interregional,2660.0,1021440000.0,1073.0,1,"[('ES230', 'ES220', 'ES212')]",384000
86,ES230,ES212,interregional,2162.0,830208000.0,1676.0,1,"[('ES230', 'ES220', 'ES212')]",384000
87,ES230,ES212,interregional,622.0,238848000.0,482.0,1,"[('ES230', 'ES220', 'ES212')]",384000
88,ES230,ES230,region_urban,12312298.35537092,172372176975.19287,0.0,2,"[('ES230', 'ES230')]",14000
89,ES230,ES230,region_rural,25208974.64462908,403343594314.0653,0.0,2,"[('ES230', 'ES230')]",16000
90,ES230,ES230,region_urban,5768994.183030828,103841895294.5549,0.0,4,"[('ES230', 'ES230')]",18000
91,ES230,ES230,region_rural,11811801.816969173,543342883580.5819,0.0,4,"[('ES230', 'ES230')]",46000
92,ES230,ES230,region_urban,1091935.5085094795,17470968136.151672,0.0,1,"[('ES230', 'ES230')]",16000
93,ES230,ES230,region_rural,2235697.4914905205,53656739795.77249,0.0,1,"[('ES230', 'ES230')]",24000
94,ES213,ES230,interregional,242558.0,65005544000.0,188029.0,1,"[('ES213','ES211', 'ES230')]",268000
95,ES220,ES230,interregional,175605.0,31257690000.0,86505.0,1,"[('ES220', 'ES230')]",178000
96,ES211,ES230,interregional,160207.0,30759744000.0,124192.0,1,"[('ES211', 'ES230')]",192000
97,ES211,ES230,interregional,152117.0,29206464000.0,74934.0,1,"[('ES211', 'ES230')]",192000
98,ES213,ES230,interregional,132167.0,35420756000.0,65107.0,1,"[('ES213','ES211', 'ES230')]",268000
99,ES220,ES230,interregional,98426.0,17519828000.0,76299.0,1,"[('ES220', 'ES230')]",178000
100,ES212,ES230,interregional,46652.0,17914368000.0,22981.0,1,"[('ES212', 'ES220', 'ES230')]",384000
101,ES220,ES230,interregional,45809.0,8154002000.0,18471.0,1,"[('ES220', 'ES230')]",178000
102,ES213,ES230,interregional,29907.0,8015076000.0,12059.0,1,"[('ES213','ES211', 'ES230')]",268000
103,ES213,ES230,interregional,25429.0,6814972000.0,19712.0,1,"[('ES213','ES211', 'ES230')]",268000
104,ES211,ES230,interregional,23941.0,4596672000.0,9654.0,1,"[('ES211', 'ES230')]",192000
105,ES212,ES230,interregional,22503.0,8641152000.0,9074.0,1,"[('ES212', 'ES220', 'ES230')]",384000
106,ES211,ES230,interregional,22388.0,4298496000.0,17355.0,1,"[('ES211', 'ES230')]",192000
107,ES212,ES230,interregional,15380.0,5905920000.0,11923.0,1,"[('ES212', 'ES220', 'ES230')]",384000
108,ES220,ES230,interregional,11924.0,2122472000.0,9244.0,1,"[('ES220', 'ES230')]",178000
109,ES212,ES230,interregional,10481.0,4024704000.0,8125.0,1,"[('ES212', 'ES220', 'ES230')]",384000
110,ES412,ES211,interregional,243964.0,55623792000.0,120179.0,1,"[('ES412', 'ES211')]",228000
111,ES412,ES211,interregional,180657.0,41189796000.0,140044.0,1,"[('ES412', 'ES211')]",228000
112,ES412,ES230,interregional,40957.0,9420110000.0,20176.0,1,"[('ES412', 'ES230')]",230000
113,ES412,ES211,interregional,35400.0,8071200000.0,27441.0,1,"[('ES412', 'ES211')]",228000
114,ES412,ES220,interregional,24235.0,10081760000.0,11938.0,1,"[('ES412', 'ES230', 'ES220')]",416000
115,ES412,ES230,interregional,20549.0,4726270000.0,15930.0,1,"[('ES412', 'ES230')]",230000
116,ES412,ES230,interregional,19546.0,4495580000.0,7882.0,1,"[('ES412', 'ES230')]",230000
117,ES412,ES220,interregional,19293.0,8025888000.0,7779.0,1,"[('ES412', 'ES230', 'ES220')]",416000
118,ES412,ES213,interregional,16072.0,4918032000.0,7917.0,1,"[('ES412', 'ES213')]",306000
119,ES412,ES220,interregional,8422.0,3503552000.0,6529.0,1,"[('ES412', 'ES230', 'ES220')]",416000
120,ES412,ES211,interregional,8205.0,1870740000.0,3308.0,1,"[('ES412', 'ES211')]",228000
121,ES412,ES213,interregional,5886.0,1801116000.0,4563.0,1,"[('ES412', 'ES213')]",306000
122,ES412,ES213,interregional,3712.0,1135872000.0,1497.0,1,"[('ES412', 'ES213')]",306000
123,ES412,ES212,interregional,2798.0,1180756000.0,1128.0,1,"[('ES412', 'ES211','ES212')]",422000
124,ES412,ES212,interregional,2636.0,1112392000.0,1298.0,1,"[('ES412', 'ES211','ES212')]",422000
125,ES412,ES220,interregional,1986.0,826176000.0,1539.0,1,"[('ES412', 'ES230','ES220')]",416000
126,ES412,ES230,interregional,1965.0,451950000.0,1524.0,1,"[('ES412', 'ES230')]",230000
127,ES412,ES213,interregional,1361.0,416466000.0,1055.0,1,"[('ES412', 'ES213')]",306000
128,ES412,ES212,interregional,776.0,327472000.0,601.0,1,"[('ES412', 'ES211','ES212')]",422000
129,ES412,ES212,interregional,575.0,242650000.0,445.0,1,"[('ES412', 'ES211','ES212')]",422000
130,ES412,ES412,region_urban,19276466.665655907,269870533319.1827,0.0,2,"[('ES412', 'ES412')]",14000
131,ES412,ES412,region_rural,27888974.334344096,446223589349.50555,0.0,2,"[('ES412', 'ES412')]",16000
132,ES412,ES412,region_urban,9187295.540105563,165371319721.90015,0.0,4,"[('ES412', 'ES412')]",18000
133,ES412,ES412,region_rural,13292075.459894437,611435471155.1442,0.0,4,"[('ES412', 'ES412')]",46000
134,ES412,ES412,region_urban,1738939.6898765927,27823035038.025486,0.0,1,"[('ES412', 'ES412')]",16000
135,ES412,ES412,region_rural,2515878.3101234073,60381079442.96178,0.0,1,"[('ES412', 'ES412')]",24000
136,ES213,ES412,interregional,1029469.0,315017514000.0,798038.0,1,"[('ES213', 'ES412')]",306000
137,ES211,ES412,interregional,435705.0,99340740000.0,337756.0,1,"[('ES211', 'ES412')]",228000
138,ES213,ES412,interregional,381850.0,116846100000.0,188104.0,1,"[('ES213', 'ES412')]",306000
139,ES211,ES412,interregional,195875.0,44659500000.0,96490.0,1,"[('ES211', 'ES412')]",228000
140,ES230,ES412,interregional,137255.0,31568650000.0,106399.0,1,"[('ES230', 'ES412')]",230000
141,ES212,ES412,interregional,103249.0,43571078000.0,80038.0,1,"[('ES212', 'ES211','ES412')]",422000
142,ES220,ES412,interregional,85049.0,35380384000.0,41896.0,1,"[('ES220', 'ES230','ES412')]",416000
143,ES230,ES412,interregional,83952.0,19308960000.0,41356.0,1,"[('ES230', 'ES412')]",230000
144,ES213,ES412,interregional,83900.0,25673400000.0,65039.0,1,"[('ES213', 'ES412')]",306000
145,ES212,ES412,interregional,71189.0,30041758000.0,35068.0,1,"[('ES212', 'ES211','ES412')]",422000
146,ES213,ES412,interregional,54919.0,16805214000.0,22145.0,1,"[('ES213', 'ES412')]",306000
147,ES211,ES412,interregional,51712.0,11790336000.0,40087.0,1,"[('ES211', 'ES412')]",228000
148,ES220,ES412,interregional,51039.0,21232224000.0,39565.0,1,"[('ES220', 'ES230','ES412')]",416000
149,ES220,ES412,interregional,43903.0,18263648000.0,17703.0,1,"[('ES220', 'ES230','ES412')]",416000
150,ES211,ES412,interregional,34982.0,7975896000.0,14106.0,1,"[('ES211', 'ES412')]",228000
151,ES212,ES412,interregional,34251.0,14453922000.0,13811.0,1,"[('ES212', 'ES211','ES412')]",422000
152,ES230,ES412,interregional,30197.0,6945310000.0,12176.0,1,"[('ES230', 'ES412')]",230000
153,ES212,ES412,interregional,26174.0,11045428000.0,20290.0,1,"[('ES212', 'ES211','ES412')]",422000
154,ES230,ES412,interregional,22545.0,5185350000.0,17477.0,1,"[('ES230', 'ES412')]",230000
155,ES220,ES412,interregional,9720.0,4043520000.0,7535.0,1,"[('ES220', 'ES230','ES412')]",416000
156,ES130,ES213,interregional,863093.0,177797158000.0,425169.0,1,"[('ES130', 'ES213')]",206000
157,ES130,ES213,interregional,852344.0,175582864000.0,660732.0,1,"[('ES130', 'ES213')]",206000
